Prefix Length,Determiners,Prompt,Answer,Correct
1,sixteen-at least thirteen,"Mark ate three of the churros. Did Mark eat more than two of the churros? Yes.
Michael wanted sixteen of the backpacks. Did Michael want at least thirteen of the backpacks?", Yes.,1
1,at least thirteen-sixteen,"Mark ate three of the churros. Did Mark eat more than two of the churros? Yes.
At least thirteen of the cars are yellow. Are sixteen of the cars yellow?", Yes.,0
1,sixteen-sixteen,"Mark ate three of the churros. Did Mark eat more than two of the churros? Yes.
Michael ordered sixteen of the hats. Did Michael order sixteen of the hats?", Yes.,1
1,at least thirteen-at least thirteen,"Mark ate three of the churros. Did Mark eat more than two of the churros? Yes.
Laura bought at least thirteen of the sandwiches. Did Laura buy at least thirteen of the sandwiches?", Yes.,1
1,thirteen-sixteen,"Jim got two of the oranges. Did Jim get some of the oranges? Yes.
Robin noticed thirteen of the dogs. Did Robin notice sixteen of the dogs?", Yes.,0
1,sixteen-thirteen,"Jim got two of the oranges. Did Jim get some of the oranges? Yes.
Adam spotted sixteen of the chocolates. Did Adam spot thirteen of the chocolates?", Yes.,1
1,sixteen-at least thirteen,"Jim got two of the oranges. Did Jim get some of the oranges? Yes.
Sidney sold sixteen of the cherries. Did Sidney sell at least thirteen of the cherries?", Yes.,1
1,at least thirteen-sixteen,"Jim got two of the oranges. Did Jim get some of the oranges? Yes.
Sidney sold at least thirteen of the bottles. Did Sidney sell sixteen of the bottles?", No.,0
1,sixteen-sixteen,"Jim got two of the oranges. Did Jim get some of the oranges? Yes.
Sidney got sixteen of the shirts. Did Sidney get sixteen of the shirts?", Yes.,1
1,at least thirteen-at least thirteen,"Jim got two of the oranges. Did Jim get some of the oranges? Yes.
The actress wanted at least thirteen of the umbrellas. Did the actress want at least thirteen of the umbrellas?", Yes.,1
1,thirteen-sixteen,"The singer spotted half of the attractions. Did the singer spot some of the attractions? Yes.
Michael ate thirteen of the apples. Did Michael eat sixteen of the apples?", Yes.,0
1,sixteen-thirteen,"The singer spotted half of the attractions. Did the singer spot some of the attractions? Yes.
Adam owned sixteen of the strawberries. Did Adam own thirteen of the strawberries?", Yes.,1
1,sixteen-at least thirteen,"The singer spotted half of the attractions. Did the singer spot some of the attractions? Yes.
Jim noticed sixteen of the performers. Did Jim notice at least thirteen of the performers?", Yes.,1
1,at least thirteen-sixteen,"The singer spotted half of the attractions. Did the singer spot some of the attractions? Yes.
Jo saw at least thirteen of the shirts. Did Jo see sixteen of the shirts?", Yes.,0
1,sixteen-sixteen,"The singer spotted half of the attractions. Did the singer spot some of the attractions? Yes.
Sophie spotted sixteen of the cats. Did Sophie spot sixteen of the cats?", Yes.,1
1,at least thirteen-at least thirteen,"The singer spotted half of the attractions. Did the singer spot some of the attractions? Yes.
The woman ate at least thirteen of the burgers. Did the woman eat at least thirteen of the burgers?", Yes.,1
1,thirteen-sixteen,"Bill sold three of the pancakes. Did Bill sell three of the pancakes? Yes.
Thirteen of the cupcakes are warm. Are sixteen of the cupcakes warm?", Yes.,0
1,sixteen-thirteen,"Bill sold three of the pancakes. Did Bill sell three of the pancakes? Yes.
Mary had sixteen of the sandwiches. Did Mary have thirteen of the sandwiches?", No.,0
1,sixteen-at least thirteen,"Bill sold three of the pancakes. Did Bill sell three of the pancakes? Yes.
Sixteen of the shoes are cheap. Are at least thirteen of the shoes cheap?", Yes.,1
1,at least thirteen-sixteen,"Bill sold three of the pancakes. Did Bill sell three of the pancakes? Yes.
The teacher wanted at least thirteen of the snacks. Did the teacher want sixteen of the snacks?", Yes.,0
1,sixteen-sixteen,"Bill sold three of the pancakes. Did Bill sell three of the pancakes? Yes.
John ate sixteen of the oranges. Did John eat sixteen of the oranges?", Yes.,1
1,at least thirteen-at least thirteen,"Bill sold three of the pancakes. Did Bill sell three of the pancakes? Yes.
Jo wanted at least thirteen of the keyrings. Did Jo want at least thirteen of the keyrings?", Yes.,1
1,thirteen-sixteen,"Sally ate three of the cupcakes. Did Sally eat more than two of the cupcakes? Yes.
Ann owned thirteen of the strawberries. Did Ann own sixteen of the strawberries?", No.,1
1,sixteen-thirteen,"Sally ate three of the cupcakes. Did Sally eat more than two of the cupcakes? Yes.
The actor sold sixteen of the chocolates. Did the actor sell thirteen of the chocolates?", No.,0
1,sixteen-at least thirteen,"Sally ate three of the cupcakes. Did Sally eat more than two of the cupcakes? Yes.
Sam wanted sixteen of the rings. Did Sam want at least thirteen of the rings?", Yes.,1
1,at least thirteen-sixteen,"Sally ate three of the cupcakes. Did Sally eat more than two of the cupcakes? Yes.
The actor saw at least thirteen of the hats. Did the actor see sixteen of the hats?", No.,0
1,sixteen-sixteen,"Sally ate three of the cupcakes. Did Sally eat more than two of the cupcakes? Yes.
The actress spotted sixteen of the pancakes. Did the actress spot sixteen of the pancakes?", Yes.,1
1,at least thirteen-at least thirteen,"Sally ate three of the cupcakes. Did Sally eat more than two of the cupcakes? Yes.
Michael wanted at least thirteen of the shirts. Did Michael want at least thirteen of the shirts?", Yes.,1
1,thirteen-sixteen,"Three of the chocolates are impressive. Are three of the chocolates impressive? Yes.
Sam liked thirteen of the apples. Did Sam like sixteen of the apples?", No.,1
1,sixteen-thirteen,"Three of the chocolates are impressive. Are three of the chocolates impressive? Yes.
Sixteen of the cupcakes are cold. Are thirteen of the cupcakes cold?", Yes.,1
1,sixteen-at least thirteen,"Three of the chocolates are impressive. Are three of the chocolates impressive? Yes.
Ann saw sixteen of the candles. Did Ann see at least thirteen of the candles?", Yes.,1
1,at least thirteen-sixteen,"Three of the chocolates are impressive. Are three of the chocolates impressive? Yes.
Ann had at least thirteen of the sandwiches. Did Ann have sixteen of the sandwiches?", Yes.,0
1,sixteen-sixteen,"Three of the chocolates are impressive. Are three of the chocolates impressive? Yes.
The actor owned sixteen of the backpacks. Did the actor own sixteen of the backpacks?", Yes.,1
1,at least thirteen-at least thirteen,"Three of the chocolates are impressive. Are three of the chocolates impressive? Yes.
Sam owned at least thirteen of the rings. Did Sam own at least thirteen of the rings?", Yes.,1
1,thirteen-sixteen,"Three of the bottles are orange. Are three of the bottles orange? Yes.
The teacher ordered thirteen of the oranges. Did the teacher order sixteen of the oranges?", No.,1
1,sixteen-thirteen,"Three of the bottles are orange. Are three of the bottles orange? Yes.
Sixteen of the toys are cheap. Are thirteen of the toys cheap?", No.,0
1,sixteen-at least thirteen,"Three of the bottles are orange. Are three of the bottles orange? Yes.
Robin owned sixteen of the pastries. Did Robin own at least thirteen of the pastries?", Yes.,1
1,at least thirteen-sixteen,"Three of the bottles are orange. Are three of the bottles orange? Yes.
Sidney had at least thirteen of the keyrings. Did Sidney have sixteen of the keyrings?", No.,0
1,sixteen-sixteen,"Three of the bottles are orange. Are three of the bottles orange? Yes.
Sam noticed sixteen of the snacks. Did Sam notice sixteen of the snacks?", Yes.,1
1,at least thirteen-at least thirteen,"Three of the bottles are orange. Are three of the bottles orange? Yes.
Jo ate at least thirteen of the cupcakes. Did Jo eat at least thirteen of the cupcakes?", Yes.,1
1,thirteen-sixteen,"John bought half of the peanuts. Did John buy half of the peanuts? Yes.
Sally liked thirteen of the oranges. Did Sally like sixteen of the oranges?", No.,1
1,sixteen-thirteen,"John bought half of the peanuts. Did John buy half of the peanuts? Yes.
Robin saw sixteen of the warnings. Did Robin see thirteen of the warnings?", No.,0
1,sixteen-at least thirteen,"John bought half of the peanuts. Did John buy half of the peanuts? Yes.
The actor bought sixteen of the bottles. Did the actor buy at least thirteen of the bottles?", Yes.,1
1,at least thirteen-sixteen,"John bought half of the peanuts. Did John buy half of the peanuts? Yes.
At least thirteen of the pancakes are expensive. Are sixteen of the pancakes expensive?", No.,0
1,sixteen-sixteen,"John bought half of the peanuts. Did John buy half of the peanuts? Yes.
Lucy owned sixteen of the pretzels. Did Lucy own sixteen of the pretzels?", Yes.,1
1,at least thirteen-at least thirteen,"John bought half of the peanuts. Did John buy half of the peanuts? Yes.
Bill owned at least thirteen of the bagels. Did Bill own at least thirteen of the bagels?", Yes.,1
1,thirteen-sixteen,"The woman noticed three of the adverts. Did the woman notice three of the adverts? Yes.
The teacher spotted thirteen of the peanuts. Did the teacher spot sixteen of the peanuts?", No.,1
1,sixteen-thirteen,"The woman noticed three of the adverts. Did the woman notice three of the adverts? Yes.
The man sold sixteen of the keyrings. Did the man sell thirteen of the keyrings?", No.,0
1,sixteen-at least thirteen,"The woman noticed three of the adverts. Did the woman notice three of the adverts? Yes.
Sidney ordered sixteen of the tickets. Did Sidney order at least thirteen of the tickets?", Yes.,1
1,at least thirteen-sixteen,"The woman noticed three of the adverts. Did the woman notice three of the adverts? Yes.
The teacher saw at least thirteen of the cars. Did the teacher see sixteen of the cars?", No.,0
1,sixteen-sixteen,"The woman noticed three of the adverts. Did the woman notice three of the adverts? Yes.
Sixteen of the mugs are on sale. Are sixteen of the mugs on sale?", Yes.,1
1,at least thirteen-at least thirteen,"The woman noticed three of the adverts. Did the woman notice three of the adverts? Yes.
The woman spotted at least thirteen of the pastries. Did the woman spot at least thirteen of the pastries?", Yes.,1
1,thirteen-sixteen,"Adam bought some of the bottles. Did Adam buy two of the bottles? Yes.
Jo owned thirteen of the rings. Did Jo own sixteen of the rings?", No.,1
1,sixteen-thirteen,"Adam bought some of the bottles. Did Adam buy two of the bottles? Yes.
Jim got sixteen of the pancakes. Did Jim get thirteen of the pancakes?", No.,0
1,sixteen-at least thirteen,"Adam bought some of the bottles. Did Adam buy two of the bottles? Yes.
Sophie spotted sixteen of the pancakes. Did Sophie spot at least thirteen of the pancakes?", Yes.,1
1,at least thirteen-sixteen,"Adam bought some of the bottles. Did Adam buy two of the bottles? Yes.
Sam spotted at least thirteen of the parades. Did Sam spot sixteen of the parades?", Yes.,0
1,sixteen-sixteen,"Adam bought some of the bottles. Did Adam buy two of the bottles? Yes.
Sixteen of the apples are colourful. Are sixteen of the apples colourful?", Yes.,1
1,at least thirteen-at least thirteen,"Adam bought some of the bottles. Did Adam buy two of the bottles? Yes.
Sam liked at least thirteen of the chocolates. Did Sam like at least thirteen of the chocolates?", Yes.,1
1,thirteen-sixteen,"Jim purchased three of the sandwiches. Did Jim purchase more than two of the sandwiches? Yes.
The actor saw thirteen of the performers. Did the actor see sixteen of the performers?", No.,1
1,sixteen-thirteen,"Jim purchased three of the sandwiches. Did Jim purchase more than two of the sandwiches? Yes.
Jim ate sixteen of the pastries. Did Jim eat thirteen of the pastries?", Yes.,1
1,sixteen-at least thirteen,"Jim purchased three of the sandwiches. Did Jim purchase more than two of the sandwiches? Yes.
Ann spotted sixteen of the cakes. Did Ann spot at least thirteen of the cakes?", Yes.,1
1,at least thirteen-sixteen,"Jim purchased three of the sandwiches. Did Jim purchase more than two of the sandwiches? Yes.
Mark noticed at least thirteen of the cars. Did Mark notice sixteen of the cars?", Yes.,0
1,sixteen-sixteen,"Jim purchased three of the sandwiches. Did Jim purchase more than two of the sandwiches? Yes.
Adam liked sixteen of the mugs. Did Adam like sixteen of the mugs?", Yes.,1
1,at least thirteen-at least thirteen,"Jim purchased three of the sandwiches. Did Jim purchase more than two of the sandwiches? Yes.
The teacher ate at least thirteen of the cherries. Did the teacher eat at least thirteen of the cherries?", Yes.,1
1,thirteen-sixteen,"Jim sold some of the oranges. Did Jim sell more than one of the oranges? Yes.
Jo got thirteen of the sweaters. Did Jo get sixteen of the sweaters?", No.,1
1,sixteen-thirteen,"Jim sold some of the oranges. Did Jim sell more than one of the oranges? Yes.
Sixteen of the mugs are green. Are thirteen of the mugs green?", Yes.,1
1,sixteen-at least thirteen,"Jim sold some of the oranges. Did Jim sell more than one of the oranges? Yes.
The singer purchased sixteen of the cherries. Did the singer purchase at least thirteen of the cherries?", Yes.,1
1,at least thirteen-sixteen,"Jim sold some of the oranges. Did Jim sell more than one of the oranges? Yes.
Ann ordered at least thirteen of the sweaters. Did Ann order sixteen of the sweaters?", No.,0
1,sixteen-sixteen,"Jim sold some of the oranges. Did Jim sell more than one of the oranges? Yes.
Jo got sixteen of the shirts. Did Jo get sixteen of the shirts?", Yes.,1
1,at least thirteen-at least thirteen,"Jim sold some of the oranges. Did Jim sell more than one of the oranges? Yes.
Sam noticed at least thirteen of the backpacks. Did Sam notice at least thirteen of the backpacks?", Yes.,1
1,thirteen-sixteen,"Adam got half of the hats. Did Adam get half of the hats? Yes.
The actress saw thirteen of the burgers. Did the actress see sixteen of the burgers?", No.,1
1,sixteen-thirteen,"Adam got half of the hats. Did Adam get half of the hats? Yes.
Adam bought sixteen of the cars. Did Adam buy thirteen of the cars?", No.,0
1,sixteen-at least thirteen,"Adam got half of the hats. Did Adam get half of the hats? Yes.
Ann got sixteen of the scarves. Did Ann get at least thirteen of the scarves?", Yes.,1
1,at least thirteen-sixteen,"Adam got half of the hats. Did Adam get half of the hats? Yes.
The teacher bought at least thirteen of the apples. Did the teacher buy sixteen of the apples?", No.,0
1,sixteen-sixteen,"Adam got half of the hats. Did Adam get half of the hats? Yes.
Sixteen of the mugs are green. Are sixteen of the mugs green?", Yes.,1
1,at least thirteen-at least thirteen,"Adam got half of the hats. Did Adam get half of the hats? Yes.
Sally ordered at least thirteen of the cherries. Did Sally order at least thirteen of the cherries?", Yes.,1
1,thirteen-sixteen,"Ann had three of the pretzels. Did Ann have three of the pretzels? Yes.
The teacher sold thirteen of the toys. Did the teacher sell sixteen of the toys?", No.,1
1,sixteen-thirteen,"Ann had three of the pretzels. Did Ann have three of the pretzels? Yes.
Sophie bought sixteen of the snacks. Did Sophie buy thirteen of the snacks?", No.,0
1,sixteen-at least thirteen,"Ann had three of the pretzels. Did Ann have three of the pretzels? Yes.
Mary bought sixteen of the scarves. Did Mary buy at least thirteen of the scarves?", Yes.,1
1,at least thirteen-sixteen,"Ann had three of the pretzels. Did Ann have three of the pretzels? Yes.
At least thirteen of the rings are cheap. Are sixteen of the rings cheap?", Yes.,0
1,sixteen-sixteen,"Ann had three of the pretzels. Did Ann have three of the pretzels? Yes.
Sidney bought sixteen of the apples. Did Sidney buy sixteen of the apples?", Yes.,1
1,at least thirteen-at least thirteen,"Ann had three of the pretzels. Did Ann have three of the pretzels? Yes.
The actress bought at least thirteen of the cupcakes. Did the actress buy at least thirteen of the cupcakes?", Yes.,1
1,thirteen-sixteen,"The man liked two of the apples. Did the man like two of the apples? Yes.
Mark got thirteen of the shoes. Did Mark get sixteen of the shoes?", No.,1
1,sixteen-thirteen,"The man liked two of the apples. Did the man like two of the apples? Yes.
Jo noticed sixteen of the shirts. Did Jo notice thirteen of the shirts?", No.,0
1,sixteen-at least thirteen,"The man liked two of the apples. Did the man like two of the apples? Yes.
Sixteen of the pretzels are mouldy. Are at least thirteen of the pretzels mouldy?", Yes.,1
1,at least thirteen-sixteen,"The man liked two of the apples. Did the man like two of the apples? Yes.
At least thirteen of the pastries are mouldy. Are sixteen of the pastries mouldy?", No.,0
1,sixteen-sixteen,"The man liked two of the apples. Did the man like two of the apples? Yes.
Jim wanted sixteen of the umbrellas. Did Jim want sixteen of the umbrellas?", Yes.,1
1,at least thirteen-at least thirteen,"The man liked two of the apples. Did the man like two of the apples? Yes.
At least thirteen of the adverts are colourful. Are at least thirteen of the adverts colourful?", Yes.,1
1,thirteen-sixteen,"Three of the backpacks are orange. Are three of the backpacks orange? Yes.
Thirteen of the tickets are red. Are sixteen of the tickets red?", No.,1
1,sixteen-thirteen,"Three of the backpacks are orange. Are three of the backpacks orange? Yes.
The actor liked sixteen of the candles. Did the actor like thirteen of the candles?", No.,0
1,sixteen-at least thirteen,"Three of the backpacks are orange. Are three of the backpacks orange? Yes.
Lucy got sixteen of the pretzels. Did Lucy get at least thirteen of the pretzels?", Yes.,1
1,at least thirteen-sixteen,"Three of the backpacks are orange. Are three of the backpacks orange? Yes.
Jo bought at least thirteen of the sandwiches. Did Jo buy sixteen of the sandwiches?", No.,0
1,sixteen-sixteen,"Three of the backpacks are orange. Are three of the backpacks orange? Yes.
Sixteen of the shoes are green. Are sixteen of the shoes green?", Yes.,1
1,at least thirteen-at least thirteen,"Three of the backpacks are orange. Are three of the backpacks orange? Yes.
At least thirteen of the strawberries are delicious. Are at least thirteen of the strawberries delicious?", Yes.,1
1,thirteen-sixteen,"Sam got two of the sweaters. Did Sam get some of the sweaters? Yes.
Thirteen of the toys are yellow. Are sixteen of the toys yellow?", Yes.,0
1,sixteen-thirteen,"Sam got two of the sweaters. Did Sam get some of the sweaters? Yes.
The woman liked sixteen of the cars. Did the woman like thirteen of the cars?", No.,0
1,sixteen-at least thirteen,"Sam got two of the sweaters. Did Sam get some of the sweaters? Yes.
The man sold sixteen of the strawberries. Did the man sell at least thirteen of the strawberries?", Yes.,1
1,at least thirteen-sixteen,"Sam got two of the sweaters. Did Sam get some of the sweaters? Yes.
Mark got at least thirteen of the hats. Did Mark get sixteen of the hats?", Yes.,0
1,sixteen-sixteen,"Sam got two of the sweaters. Did Sam get some of the sweaters? Yes.
The singer wanted sixteen of the cherries. Did the singer want sixteen of the cherries?", Yes.,1
1,at least thirteen-at least thirteen,"Sam got two of the sweaters. Did Sam get some of the sweaters? Yes.
Adam bought at least thirteen of the toys. Did Adam buy at least thirteen of the toys?", Yes.,1
1,thirteen-sixteen,"Three of the pastries are pretty. Are more than two of the pastries pretty? Yes.
Thirteen of the toys are red. Are sixteen of the toys red?", Yes.,0
1,sixteen-thirteen,"Three of the pastries are pretty. Are more than two of the pastries pretty? Yes.
The actress ordered sixteen of the strawberries. Did the actress order thirteen of the strawberries?", No.,0
1,sixteen-at least thirteen,"Three of the pastries are pretty. Are more than two of the pastries pretty? Yes.
Robin ate sixteen of the pancakes. Did Robin eat at least thirteen of the pancakes?", Yes.,1
1,at least thirteen-sixteen,"Three of the pastries are pretty. Are more than two of the pastries pretty? Yes.
At least thirteen of the candles are yellow. Are sixteen of the candles yellow?", Yes.,0
1,sixteen-sixteen,"Three of the pastries are pretty. Are more than two of the pastries pretty? Yes.
Sixteen of the cars are pretty. Are sixteen of the cars pretty?", Yes.,1
1,at least thirteen-at least thirteen,"Three of the pastries are pretty. Are more than two of the pastries pretty? Yes.
At least thirteen of the apples are mouldy. Are at least thirteen of the apples mouldy?", Yes.,1
1,thirteen-sixteen,"Both of the candles are colourful. Are both of the candles colourful? Yes.
Sidney spotted thirteen of the performers. Did Sidney spot sixteen of the performers?", No.,1
1,sixteen-thirteen,"Both of the candles are colourful. Are both of the candles colourful? Yes.
Sixteen of the attractions are impressive. Are thirteen of the attractions impressive?", Yes.,1
1,sixteen-at least thirteen,"Both of the candles are colourful. Are both of the candles colourful? Yes.
Mary had sixteen of the churros. Did Mary have at least thirteen of the churros?", Yes.,1
1,at least thirteen-sixteen,"Both of the candles are colourful. Are both of the candles colourful? Yes.
At least thirteen of the adverts are impressive. Are sixteen of the adverts impressive?", Yes.,0
1,sixteen-sixteen,"Both of the candles are colourful. Are both of the candles colourful? Yes.
Adam got sixteen of the cupcakes. Did Adam get sixteen of the cupcakes?", Yes.,1
1,at least thirteen-at least thirteen,"Both of the candles are colourful. Are both of the candles colourful? Yes.
Michael wanted at least thirteen of the cupcakes. Did Michael want at least thirteen of the cupcakes?", Yes.,1
1,thirteen-sixteen,"Michael spotted some of the rings. Did Michael spot two of the rings? Yes.
Sophie noticed thirteen of the burgers. Did Sophie notice sixteen of the burgers?", No.,1
1,sixteen-thirteen,"Michael spotted some of the rings. Did Michael spot two of the rings? Yes.
Jo spotted sixteen of the strawberries. Did Jo spot thirteen of the strawberries?", Yes.,1
1,sixteen-at least thirteen,"Michael spotted some of the rings. Did Michael spot two of the rings? Yes.
Sophie spotted sixteen of the candles. Did Sophie spot at least thirteen of the candles?", Yes.,1
1,at least thirteen-sixteen,"Michael spotted some of the rings. Did Michael spot two of the rings? Yes.
Lucy owned at least thirteen of the snacks. Did Lucy own sixteen of the snacks?", No.,0
1,sixteen-sixteen,"Michael spotted some of the rings. Did Michael spot two of the rings? Yes.
The actor saw sixteen of the sights. Did the actor see sixteen of the sights?", Yes.,1
1,at least thirteen-at least thirteen,"Michael spotted some of the rings. Did Michael spot two of the rings? Yes.
The teacher had at least thirteen of the candles. Did the teacher have at least thirteen of the candles?", Yes.,1
1,thirteen-sixteen,"The woman ate three of the burgers. Did the woman eat three of the burgers? Yes.
Bill got thirteen of the sweaters. Did Bill get sixteen of the sweaters?", No.,1
1,sixteen-thirteen,"The woman ate three of the burgers. Did the woman eat three of the burgers? Yes.
Sixteen of the sweaters are green. Are thirteen of the sweaters green?", Yes.,1
1,sixteen-at least thirteen,"The woman ate three of the burgers. Did the woman eat three of the burgers? Yes.
Sixteen of the sweaters are cheap. Are at least thirteen of the sweaters cheap?", Yes.,1
1,at least thirteen-sixteen,"The woman ate three of the burgers. Did the woman eat three of the burgers? Yes.
The woman liked at least thirteen of the pancakes. Did the woman like sixteen of the pancakes?", Yes.,0
1,sixteen-sixteen,"The woman ate three of the burgers. Did the woman eat three of the burgers? Yes.
The actress spotted sixteen of the apples. Did the actress spot sixteen of the apples?", Yes.,1
1,at least thirteen-at least thirteen,"The woman ate three of the burgers. Did the woman eat three of the burgers? Yes.
At least thirteen of the sandwiches are sold out. Are at least thirteen of the sandwiches sold out?", Yes.,1
1,thirteen-sixteen,"The man had half of the umbrellas. Did the man have half of the umbrellas? Yes.
Robin sold thirteen of the pretzels. Did Robin sell sixteen of the pretzels?", No.,1
1,sixteen-thirteen,"The man had half of the umbrellas. Did the man have half of the umbrellas? Yes.
Sidney spotted sixteen of the stores. Did Sidney spot thirteen of the stores?", No.,0
1,sixteen-at least thirteen,"The man had half of the umbrellas. Did the man have half of the umbrellas? Yes.
Sally sold sixteen of the cherries. Did Sally sell at least thirteen of the cherries?", Yes.,1
1,at least thirteen-sixteen,"The man had half of the umbrellas. Did the man have half of the umbrellas? Yes.
Sally got at least thirteen of the apples. Did Sally get sixteen of the apples?", No.,0
1,sixteen-sixteen,"The man had half of the umbrellas. Did the man have half of the umbrellas? Yes.
Sixteen of the chocolates are cold. Are sixteen of the chocolates cold?", Yes.,1
1,at least thirteen-at least thirteen,"The man had half of the umbrellas. Did the man have half of the umbrellas? Yes.
Sidney wanted at least thirteen of the mugs. Did Sidney want at least thirteen of the mugs?", Yes.,1
2,thirteen-sixteen,"Sally owned three of the burgers. Did Sally own more than two of the burgers? Yes.
The actress ate several of the pancakes. Did the actress eat none of the pancakes? No.
Thirteen of the burgers are impressive. Are sixteen of the burgers impressive?", No.,1
2,sixteen-thirteen,"Sally owned three of the burgers. Did Sally own more than two of the burgers? Yes.
The actress ate several of the pancakes. Did the actress eat none of the pancakes? No.
Sally purchased sixteen of the oranges. Did Sally purchase thirteen of the oranges?", No.,0
2,sixteen-at least thirteen,"Sally owned three of the burgers. Did Sally own more than two of the burgers? Yes.
The actress ate several of the pancakes. Did the actress eat none of the pancakes? No.
The teacher got sixteen of the sandwiches. Did the teacher get at least thirteen of the sandwiches?", Yes.,1
2,at least thirteen-sixteen,"Sally owned three of the burgers. Did Sally own more than two of the burgers? Yes.
The actress ate several of the pancakes. Did the actress eat none of the pancakes? No.
At least thirteen of the shirts are red. Are sixteen of the shirts red?", Yes.,0
2,sixteen-sixteen,"Sally owned three of the burgers. Did Sally own more than two of the burgers? Yes.
The actress ate several of the pancakes. Did the actress eat none of the pancakes? No.
Sixteen of the scarves are red. Are sixteen of the scarves red?", Yes.,1
2,at least thirteen-at least thirteen,"Sally owned three of the burgers. Did Sally own more than two of the burgers? Yes.
The actress ate several of the pancakes. Did the actress eat none of the pancakes? No.
Jo spotted at least thirteen of the mice. Did Jo spot at least thirteen of the mice?", Yes.,1
2,thirteen-sixteen,"Laura got most of the shirts. Did Laura get none of the shirts? No.
The actor wanted two of the rings. Did the actor want some of the rings? Yes.
Sally spotted thirteen of the giraffes. Did Sally spot sixteen of the giraffes?", No.,1
2,sixteen-thirteen,"Laura got most of the shirts. Did Laura get none of the shirts? No.
The actor wanted two of the rings. Did the actor want some of the rings? Yes.
Laura got sixteen of the pancakes. Did Laura get thirteen of the pancakes?", No.,0
2,sixteen-at least thirteen,"Laura got most of the shirts. Did Laura get none of the shirts? No.
The actor wanted two of the rings. Did the actor want some of the rings? Yes.
Laura ate sixteen of the chocolates. Did Laura eat at least thirteen of the chocolates?", Yes.,1
2,at least thirteen-sixteen,"Laura got most of the shirts. Did Laura get none of the shirts? No.
The actor wanted two of the rings. Did the actor want some of the rings? Yes.
The actress had at least thirteen of the snacks. Did the actress have sixteen of the snacks?", No.,0
