Prefix Length,Determiners,Prompt,Answer,Correct
0,all-some,"
Sophie owned all of the oranges. Did Sophie own some of the oranges?","

",0
0,all-all,"
All of the strawberries are colourful. Are all of the strawberries colourful?","

",0
0,some-some,"
The actress sold some of the peanuts. Did the actress sell some of the peanuts?","

",0
0,some-all,"
Sam noticed some of the cherries. Did Sam notice all of the cherries?","

",0
0,all-some,"
Ann got all of the sandwiches. Did Ann get some of the sandwiches?","

",0
0,all-all,"
Sam saw all of the toys. Did Sam see all of the toys?","

",0
0,some-some,"
Ann noticed some of the parades. Did Ann notice some of the parades?","

",0
0,some-all,"
Some of the snacks are sold out. Are all of the snacks sold out?","

",0
0,all-some,"
Jo had all of the cars. Did Jo have some of the cars?","

",0
0,all-all,"
Sally purchased all of the churros. Did Sally purchase all of the churros?","

",0
0,some-some,"
Sidney bought some of the apples. Did Sidney buy some of the apples?","

",0
0,some-all,"
The actress sold some of the cakes. Did the actress sell all of the cakes?","

",0
0,all-some,"
The singer ate all of the sandwiches. Did the singer eat some of the sandwiches?","

",0
0,all-all,"
The actress saw all of the temples. Did the actress see all of the temples?","

",0
0,some-some,"
Some of the stores are colourful. Are some of the stores colourful?","

",0
0,some-all,"
Ann noticed some of the backpacks. Did Ann notice all of the backpacks?","

",0
0,all-some,"
All of the shirts are sold out. Are some of the shirts sold out?","

",0
0,all-all,"
All of the hats are affordable. Are all of the hats affordable?","

",0
0,some-some,"
Some of the cherries are sold out. Are some of the cherries sold out?","

",0
0,some-all,"
Jim owned some of the rings. Did Jim own all of the rings?","

",0
0,all-some,"
Lucy bought all of the snacks. Did Lucy buy some of the snacks?","

",0
0,all-all,"
The singer bought all of the cupcakes. Did the singer buy all of the cupcakes?","

",0
0,some-some,"
The actor saw some of the signs. Did the actor see some of the signs?","

",0
0,some-all,"
Sally spotted some of the peanuts. Did Sally spot all of the peanuts?","

",0
0,all-some,"
Bill sold all of the cars. Did Bill sell some of the cars?","

",0
0,all-all,"
The actor saw all of the pancakes. Did the actor see all of the pancakes?","

",0
0,some-some,"
Some of the cars are expensive. Are some of the cars expensive?","

",0
0,some-all,"
Some of the snacks are on sale. Are all of the snacks on sale?","

",0
0,all-some,"
All of the bagels are mouldy. Are some of the bagels mouldy?","

",0
0,all-all,"
Michael bought all of the apples. Did Michael buy all of the apples?","

",0
0,some-some,"
Some of the rings are pretty. Are some of the rings pretty?","

",0
0,some-all,"
Michael got some of the bottles. Did Michael get all of the bottles?","

",0
0,all-some,"
Lucy spotted all of the mice. Did Lucy spot some of the mice?","

",0
0,all-all,"
All of the hats are on sale. Are all of the hats on sale?","

",0
0,some-some,"
Sam got some of the bagels. Did Sam get some of the bagels?","

",0
0,some-all,"
Mark saw some of the apples. Did Mark see all of the apples?","

",0
0,all-some,"
Sam ate all of the cupcakes. Did Sam eat some of the cupcakes?","

",0
0,all-all,"
Jo bought all of the scarves. Did Jo buy all of the scarves?","

",0
0,some-some,"
John owned some of the bagels. Did John own some of the bagels?","

",0
0,some-all,"
The actor spotted some of the scarves. Did the actor spot all of the scarves?","

",0
0,all-some,"
Jo had all of the cars. Did Jo have some of the cars?","

",0
0,all-all,"
Sidney liked all of the scarves. Did Sidney like all of the scarves?","

",0
0,some-some,"
The actor sold some of the shirts. Did the actor sell some of the shirts?","

",0
0,some-all,"
John ordered some of the cars. Did John order all of the cars?","

",0
0,all-some,"
Sophie ate all of the cupcakes. Did Sophie eat some of the cupcakes?","

",0
0,all-all,"
Sam bought all of the toys. Did Sam buy all of the toys?","

",0
0,some-some,"
Laura spotted some of the performers. Did Laura spot some of the performers?","

",0
0,some-all,"
Some of the strawberries are pretty. Are all of the strawberries pretty?","

",0
0,all-some,"
Michael noticed all of the attractions. Did Michael notice some of the attractions?","

",0
0,all-all,"
Bill ate all of the strawberries. Did Bill eat all of the strawberries?","

",0
0,some-some,"
The actor bought some of the shirts. Did the actor buy some of the shirts?","

",0
0,some-all,"
Sophie noticed some of the toys. Did Sophie notice all of the toys?","

",0
0,all-some,"
The singer had all of the shirts. Did the singer have some of the shirts?","

",0
0,all-all,"
The actress sold all of the scarves. Did the actress sell all of the scarves?","

",0
0,some-some,"
Some of the scarves are green. Are some of the scarves green?","

",0
0,some-all,"
The singer sold some of the backpacks. Did the singer sell all of the backpacks?","

",0
0,all-some,"
John owned all of the pastries. Did John own some of the pastries?","

",0
0,all-all,"
The singer bought all of the keyrings. Did the singer buy all of the keyrings?","

",0
0,some-some,"
Laura got some of the rings. Did Laura get some of the rings?","

",0
0,some-all,"
Sally wanted some of the sandwiches. Did Sally want all of the sandwiches?","

",0
0,all-some,"
Jim bought all of the shirts. Did Jim buy some of the shirts?","

",0
0,all-all,"
Laura sold all of the oranges. Did Laura sell all of the oranges?","

",0
0,some-some,"
Mary ordered some of the toys. Did Mary order some of the toys?","

",0
0,some-all,"
Robin purchased some of the peanuts. Did Robin purchase all of the peanuts?","

",0
0,all-some,"
Jim purchased all of the peanuts. Did Jim purchase some of the peanuts?","

",0
0,all-all,"
John owned all of the scarves. Did John own all of the scarves?","

",0
0,some-some,"
Mary owned some of the umbrellas. Did Mary own some of the umbrellas?","

",0
0,some-all,"
Sophie ate some of the pancakes. Did Sophie eat all of the pancakes?","

",0
0,all-some,"
Adam ate all of the chocolates. Did Adam eat some of the chocolates?","

",0
0,all-all,"
Adam purchased all of the rings. Did Adam purchase all of the rings?","

",0
0,some-some,"
Sophie owned some of the cars. Did Sophie own some of the cars?","

",0
0,some-all,"
The actress saw some of the strawberries. Did the actress see all of the strawberries?","

",0
0,all-some,"
Robin spotted all of the sweaters. Did Robin spot some of the sweaters?","

",0
0,all-all,"
All of the pretzels are pretty. Are all of the pretzels pretty?","

",0
0,some-some,"
Jim noticed some of the cakes. Did Jim notice some of the cakes?","

",0
0,some-all,"
The teacher ate some of the chocolates. Did the teacher eat all of the chocolates?","

",0
0,all-some,"
Michael saw all of the hats. Did Michael see some of the hats?","

",0
0,all-all,"
The man bought all of the cupcakes. Did the man buy all of the cupcakes?","

",0
0,some-some,"
Jo got some of the hats. Did Jo get some of the hats?","

",0
0,some-all,"
Some of the shoes are impressive. Are all of the shoes impressive?","

",0
0,all-some,"
All of the cupcakes are mouldy. Are some of the cupcakes mouldy?","

",0
0,all-all,"
Ann bought all of the cakes. Did Ann buy all of the cakes?","

",0
0,some-some,"
The woman got some of the backpacks. Did the woman get some of the backpacks?","

",0
0,some-all,"
Robin had some of the shirts. Did Robin have all of the shirts?","

",0
0,all-some,"
Lucy ate all of the cupcakes. Did Lucy eat some of the cupcakes?","

",0
0,all-all,"
Bill bought all of the sandwiches. Did Bill buy all of the sandwiches?","

",0
0,some-some,"
The actress bought some of the toys. Did the actress buy some of the toys?","

",0
0,some-all,"
Michael ate some of the sandwiches. Did Michael eat all of the sandwiches?","

",0
0,all-some,"
All of the bottles are impressive. Are some of the bottles impressive?","

",0
0,all-all,"
All of the umbrellas are pretty. Are all of the umbrellas pretty?","

",0
0,some-some,"
The singer got some of the rings. Did the singer get some of the rings?","

",0
1,some-all,"Sophie got both of the oranges. Did Sophie get all of the oranges? Yes.
Adam saw some of the keyrings. Did Adam see all of the keyrings?", No.,1
1,all-some,"Sophie got both of the oranges. Did Sophie get all of the oranges? Yes.
The actress liked all of the scarves. Did the actress like some of the scarves?", No.,0
1,all-all,"Sophie got both of the oranges. Did Sophie get all of the oranges? Yes.
Lucy ordered all of the peanuts. Did Lucy order all of the peanuts?", No.,0
1,some-some,"Sophie got both of the oranges. Did Sophie get all of the oranges? Yes.
Some of the scarves are red. Are some of the scarves red?", Yes.,1
1,some-all,"Sam owned some of the tickets. Did Sam own two of the tickets? Yes.
Ann saw some of the mugs. Did Ann see all of the mugs?", No.,1
1,all-some,"Sam owned some of the tickets. Did Sam own two of the tickets? Yes.
Sophie wanted all of the bottles. Did Sophie want some of the bottles?", Yes.,1
1,all-all,"Sam owned some of the tickets. Did Sam own two of the tickets? Yes.
Mark wanted all of the mugs. Did Mark want all of the mugs?", No.,0
1,some-some,"Sam owned some of the tickets. Did Sam own two of the tickets? Yes.
Some of the pancakes are affordable. Are some of the pancakes affordable?", Yes.,1
1,some-all,"Ann had two of the cherries. Did Ann have more than one of the cherries? Yes.
Sam purchased some of the peanuts. Did Sam purchase all of the peanuts?", No.,1
1,all-some,"Ann had two of the cherries. Did Ann have more than one of the cherries? Yes.
All of the parades are colourful. Are some of the parades colourful?", Yes.,1
1,all-all,"Ann had two of the cherries. Did Ann have more than one of the cherries? Yes.
All of the sandwiches are warm. Are all of the sandwiches warm?", Yes.,1
1,some-some,"Ann had two of the cherries. Did Ann have more than one of the cherries? Yes.
The man had some of the umbrellas. Did the man have some of the umbrellas?", Yes.,1
1,some-all,"Michael wanted both of the bottles. Did Michael want both of the bottles? Yes.
Some of the burgers are affordable. Are all of the burgers affordable?", No.,1
1,all-some,"Michael wanted both of the bottles. Did Michael want both of the bottles? Yes.
Sophie liked all of the pancakes. Did Sophie like some of the pancakes?", Yes.,1
1,all-all,"Michael wanted both of the bottles. Did Michael want both of the bottles? Yes.
Sidney ate all of the churros. Did Sidney eat all of the churros?", Yes.,1
1,some-some,"Michael wanted both of the bottles. Did Michael want both of the bottles? Yes.
Laura ate some of the peanuts. Did Laura eat some of the peanuts?", Yes.,1
1,some-all,"Lucy wanted three of the tickets. Did Lucy want three of the tickets? Yes.
Jim noticed some of the warnings. Did Jim notice all of the warnings?", No.,1
1,all-some,"Lucy wanted three of the tickets. Did Lucy want three of the tickets? Yes.
Robin liked all of the cherries. Did Robin like some of the cherries?", Yes.,1
1,all-all,"Lucy wanted three of the tickets. Did Lucy want three of the tickets? Yes.
Mark bought all of the bagels. Did Mark buy all of the bagels?", Yes.,1
1,some-some,"Lucy wanted three of the tickets. Did Lucy want three of the tickets? Yes.
Lucy ordered some of the cakes. Did Lucy order some of the cakes?", Yes.,1
1,some-all,"Sally had half of the toys. Did Sally have half of the toys? Yes.
Mary ordered some of the shoes. Did Mary order all of the shoes?", No.,1
1,all-some,"Sally had half of the toys. Did Sally have half of the toys? Yes.
All of the pancakes are mouldy. Are some of the pancakes mouldy?", Yes.,1
1,all-all,"Sally had half of the toys. Did Sally have half of the toys? Yes.
Lucy ate all of the strawberries. Did Lucy eat all of the strawberries?", No.,0
1,some-some,"Sally had half of the toys. Did Sally have half of the toys? Yes.
Jo had some of the cupcakes. Did Jo have some of the cupcakes?", Yes.,1
1,some-all,"Sophie saw both of the temples. Did Sophie see two of the temples? Yes.
Mark ordered some of the rings. Did Mark order all of the rings?", No.,1
1,all-some,"Sophie saw both of the temples. Did Sophie see two of the temples? Yes.
Michael spotted all of the stores. Did Michael spot some of the stores?", Yes.,1
1,all-all,"Sophie saw both of the temples. Did Sophie see two of the temples? Yes.
The actress had all of the bottles. Did the actress have all of the bottles?", Yes.,1
1,some-some,"Sophie saw both of the temples. Did Sophie see two of the temples? Yes.
The singer bought some of the shoes. Did the singer buy some of the shoes?", Yes.,1
1,some-all,"Sally owned some of the churros. Did Sally own more than one of the churros? Yes.
Some of the keyrings are blue. Are all of the keyrings blue?", No.,1
1,all-some,"Sally owned some of the churros. Did Sally own more than one of the churros? Yes.
Sam had all of the shoes. Did Sam have some of the shoes?", Yes.,1
1,all-all,"Sally owned some of the churros. Did Sally own more than one of the churros? Yes.
All of the rings are impressive. Are all of the rings impressive?", No.,0
1,some-some,"Sally owned some of the churros. Did Sally own more than one of the churros? Yes.
Some of the rings are colourful. Are some of the rings colourful?", Yes.,1
1,some-all,"Some of the strawberries are cold. Are two of the strawberries cold? Yes.
Bill had some of the cars. Did Bill have all of the cars?", No.,1
1,all-some,"Some of the strawberries are cold. Are two of the strawberries cold? Yes.
John liked all of the keyrings. Did John like some of the keyrings?", Yes.,1
1,all-all,"Some of the strawberries are cold. Are two of the strawberries cold? Yes.
Ann owned all of the snacks. Did Ann own all of the snacks?", No.,0
1,some-some,"Some of the strawberries are cold. Are two of the strawberries cold? Yes.
Sally ate some of the burgers. Did Sally eat some of the burgers?", Yes.,1
1,some-all,"Jim noticed some of the sandwiches. Did Jim notice two of the sandwiches? Yes.
Jim saw some of the sights. Did Jim see all of the sights?", No.,1
1,all-some,"Jim noticed some of the sandwiches. Did Jim notice two of the sandwiches? Yes.
Laura sold all of the mugs. Did Laura sell some of the mugs?", Yes.,1
1,all-all,"Jim noticed some of the sandwiches. Did Jim notice two of the sandwiches? Yes.
All of the rings are sold out. Are all of the rings sold out?", Yes.,1
1,some-some,"Jim noticed some of the sandwiches. Did Jim notice two of the sandwiches? Yes.
The actor noticed some of the backpacks. Did the actor notice some of the backpacks?", Yes.,1
1,some-all,"Jim spotted both of the bagels. Did Jim spot two of the bagels? Yes.
Ann noticed some of the attractions. Did Ann notice all of the attractions?", No.,1
1,all-some,"Jim spotted both of the bagels. Did Jim spot two of the bagels? Yes.
Jim noticed all of the signs. Did Jim notice some of the signs?", Yes.,1
1,all-all,"Jim spotted both of the bagels. Did Jim spot two of the bagels? Yes.
John saw all of the cars. Did John see all of the cars?", No.,0
1,some-some,"Jim spotted both of the bagels. Did Jim spot two of the bagels? Yes.
The man ate some of the oranges. Did the man eat some of the oranges?", Yes.,1
1,some-all,"Half of the pretzels are sold out. Are half of the pretzels sold out? Yes.
Ann wanted some of the toys. Did Ann want all of the toys?", No.,1
1,all-some,"Half of the pretzels are sold out. Are half of the pretzels sold out? Yes.
All of the shoes are red. Are some of the shoes red?", Yes.,1
1,all-all,"Half of the pretzels are sold out. Are half of the pretzels sold out? Yes.
The actress ordered all of the shoes. Did the actress order all of the shoes?", Yes.,1
1,some-some,"Half of the pretzels are sold out. Are half of the pretzels sold out? Yes.
Sam spotted some of the temples. Did Sam spot some of the temples?", Yes.,1
1,some-all,"The woman wanted two of the pastries. Did the woman want more than one of the pastries? Yes.
Sam sold some of the backpacks. Did Sam sell all of the backpacks?", No.,1
1,all-some,"The woman wanted two of the pastries. Did the woman want more than one of the pastries? Yes.
The actress noticed all of the warnings. Did the actress notice some of the warnings?", No.,0
1,all-all,"The woman wanted two of the pastries. Did the woman want more than one of the pastries? Yes.
Sidney sold all of the sandwiches. Did Sidney sell all of the sandwiches?", Yes.,1
1,some-some,"The woman wanted two of the pastries. Did the woman want more than one of the pastries? Yes.
Some of the sweaters are affordable. Are some of the sweaters affordable?", Yes.,1
1,some-all,"Jo ordered three of the shirts. Did Jo order three of the shirts? Yes.
Sidney got some of the cupcakes. Did Sidney get all of the cupcakes?", No.,1
1,all-some,"Jo ordered three of the shirts. Did Jo order three of the shirts? Yes.
Sam ordered all of the scarves. Did Sam order some of the scarves?", No.,0
1,all-all,"Jo ordered three of the shirts. Did Jo order three of the shirts? Yes.
Sidney noticed all of the keyrings. Did Sidney notice all of the keyrings?", Yes.,1
1,some-some,"Jo ordered three of the shirts. Did Jo order three of the shirts? Yes.
Sam had some of the pastries. Did Sam have some of the pastries?", Yes.,1
1,some-all,"Sophie got three of the oranges. Did Sophie get three of the oranges? Yes.
The actor saw some of the cars. Did the actor see all of the cars?", No.,1
1,all-some,"Sophie got three of the oranges. Did Sophie get three of the oranges? Yes.
Robin noticed all of the cherries. Did Robin notice some of the cherries?", Yes.,1
1,all-all,"Sophie got three of the oranges. Did Sophie get three of the oranges? Yes.
John saw all of the performers. Did John see all of the performers?", Yes.,1
1,some-some,"Sophie got three of the oranges. Did Sophie get three of the oranges? Yes.
The singer ate some of the burgers. Did the singer eat some of the burgers?", Yes.,1
1,some-all,"Robin saw three of the pretzels. Did Robin see three of the pretzels? Yes.
Adam sold some of the oranges. Did Adam sell all of the oranges?", No.,1
1,all-some,"Robin saw three of the pretzels. Did Robin see three of the pretzels? Yes.
Laura sold all of the chocolates. Did Laura sell some of the chocolates?", No.,0
1,all-all,"Robin saw three of the pretzels. Did Robin see three of the pretzels? Yes.
Adam sold all of the pancakes. Did Adam sell all of the pancakes?", Yes.,1
1,some-some,"Robin saw three of the pretzels. Did Robin see three of the pretzels? Yes.
Mary spotted some of the cherries. Did Mary spot some of the cherries?", Yes.,1
1,some-all,"Jo ate two of the burgers. Did Jo eat more than one of the burgers? Yes.
John got some of the bottles. Did John get all of the bottles?", No.,1
1,all-some,"Jo ate two of the burgers. Did Jo eat more than one of the burgers? Yes.
The teacher purchased all of the churros. Did the teacher purchase some of the churros?", No.,0
1,all-all,"Jo ate two of the burgers. Did Jo eat more than one of the burgers? Yes.
Laura spotted all of the keyrings. Did Laura spot all of the keyrings?", Yes.,1
1,some-some,"Jo ate two of the burgers. Did Jo eat more than one of the burgers? Yes.
Some of the cakes are tasty. Are some of the cakes tasty?", Yes.,1
1,some-all,"John wanted some of the hats. Did John want more than one of the hats? Yes.
Mary spotted some of the stores. Did Mary spot all of the stores?", No.,1
1,all-some,"John wanted some of the hats. Did John want more than one of the hats? Yes.
The man bought all of the toys. Did the man buy some of the toys?", No.,0
1,all-all,"John wanted some of the hats. Did John want more than one of the hats? Yes.
Bill liked all of the cakes. Did Bill like all of the cakes?", Yes.,1
1,some-some,"John wanted some of the hats. Did John want more than one of the hats? Yes.
Sidney got some of the bagels. Did Sidney get some of the bagels?", Yes.,1
1,some-all,"Three of the shirts are cheap. Are three of the shirts cheap? Yes.
Lucy liked some of the toys. Did Lucy like all of the toys?", No.,1
1,all-some,"Three of the shirts are cheap. Are three of the shirts cheap? Yes.
Mary bought all of the pastries. Did Mary buy some of the pastries?", Yes.,1
1,all-all,"Three of the shirts are cheap. Are three of the shirts cheap? Yes.
All of the pastries are tasty. Are all of the pastries tasty?", Yes.,1
1,some-some,"Three of the shirts are cheap. Are three of the shirts cheap? Yes.
The actress noticed some of the snacks. Did the actress notice some of the snacks?", Yes.,1
1,some-all,"Mary noticed two of the scarves. Did Mary notice two of the scarves? Yes.
The singer wanted some of the candles. Did the singer want all of the candles?", No.,1
1,all-some,"Mary noticed two of the scarves. Did Mary notice two of the scarves? Yes.
Laura liked all of the cakes. Did Laura like some of the cakes?", Yes.,1
1,all-all,"Mary noticed two of the scarves. Did Mary notice two of the scarves? Yes.
The man spotted all of the pretzels. Did the man spot all of the pretzels?", No.,0
1,some-some,"Mary noticed two of the scarves. Did Mary notice two of the scarves? Yes.
The actress spotted some of the cherries. Did the actress spot some of the cherries?", Yes.,1
1,some-all,"Mark saw three of the oranges. Did Mark see more than two of the oranges? Yes.
The man got some of the cupcakes. Did the man get all of the cupcakes?", No.,1
1,all-some,"Mark saw three of the oranges. Did Mark see more than two of the oranges? Yes.
Bill ordered all of the bottles. Did Bill order some of the bottles?", Yes.,1
1,all-all,"Mark saw three of the oranges. Did Mark see more than two of the oranges? Yes.
Bill ordered all of the keyrings. Did Bill order all of the keyrings?", No.,0
1,some-some,"Mark saw three of the oranges. Did Mark see more than two of the oranges? Yes.
Sophie liked some of the candles. Did Sophie like some of the candles?", Yes.,1
1,some-all,"Half of the sandwiches are expensive. Are some of the sandwiches expensive? Yes.
Bill wanted some of the hats. Did Bill want all of the hats?", No.,1
1,all-some,"Half of the sandwiches are expensive. Are some of the sandwiches expensive? Yes.
All of the hats are orange. Are some of the hats orange?", Yes.,1
1,all-all,"Half of the sandwiches are expensive. Are some of the sandwiches expensive? Yes.
The actor owned all of the hats. Did the actor own all of the hats?", Yes.,1
1,some-some,"Half of the sandwiches are expensive. Are some of the sandwiches expensive? Yes.
Mark liked some of the cakes. Did Mark like some of the cakes?", Yes.,1
