Prefix Length,Determiners,Prompt,Answer,Correct
1,three-at least two,"The singer owned two of the scarves. Did the singer own two of the scarves? Yes.
Mary bought three of the sweaters. Did Mary buy at least two of the sweaters?", Yes.,1
1,at least two-three,"The singer owned two of the scarves. Did the singer own two of the scarves? Yes.
Sam had at least two of the hats. Did Sam have three of the hats?", No.,0
1,three-three,"The singer owned two of the scarves. Did the singer own two of the scarves? Yes.
The man noticed three of the backpacks. Did the man notice three of the backpacks?", Yes.,1
1,at least two-at least two,"The singer owned two of the scarves. Did the singer own two of the scarves? Yes.
Bill ate at least two of the strawberries. Did Bill eat at least two of the strawberries?", Yes.,1
1,two-three,"Sam noticed three of the strawberries. Did Sam notice three of the strawberries? Yes.
Laura sold two of the toys. Did Laura sell three of the toys?", No.,1
1,three-two,"Sam noticed three of the strawberries. Did Sam notice three of the strawberries? Yes.
Sidney liked three of the shirts. Did Sidney like two of the shirts?", No.,0
1,three-at least two,"Sam noticed three of the strawberries. Did Sam notice three of the strawberries? Yes.
Mark got three of the shoes. Did Mark get at least two of the shoes?", Yes.,1
1,at least two-three,"Sam noticed three of the strawberries. Did Sam notice three of the strawberries? Yes.
Mary bought at least two of the cherries. Did Mary buy three of the cherries?", No.,0
1,three-three,"Sam noticed three of the strawberries. Did Sam notice three of the strawberries? Yes.
The actor spotted three of the sandwiches. Did the actor spot three of the sandwiches?", Yes.,1
1,at least two-at least two,"Sam noticed three of the strawberries. Did Sam notice three of the strawberries? Yes.
Laura owned at least two of the sandwiches. Did Laura own at least two of the sandwiches?", Yes.,1
1,two-three,"Adam noticed some of the cherries. Did Adam notice two of the cherries? Yes.
John bought two of the strawberries. Did John buy three of the strawberries?", No.,1
1,three-two,"Adam noticed some of the cherries. Did Adam notice two of the cherries? Yes.
Jo sold three of the scarves. Did Jo sell two of the scarves?", Yes.,1
1,three-at least two,"Adam noticed some of the cherries. Did Adam notice two of the cherries? Yes.
Three of the temples are pretty. Are at least two of the temples pretty?", Yes.,1
1,at least two-three,"Adam noticed some of the cherries. Did Adam notice two of the cherries? Yes.
Adam bought at least two of the cupcakes. Did Adam buy three of the cupcakes?", No.,0
1,three-three,"Adam noticed some of the cherries. Did Adam notice two of the cherries? Yes.
Three of the stores are colourful. Are three of the stores colourful?", Yes.,1
1,at least two-at least two,"Adam noticed some of the cherries. Did Adam notice two of the cherries? Yes.
Adam spotted at least two of the pastries. Did Adam spot at least two of the pastries?", Yes.,1
1,two-three,"Sam wanted three of the tickets. Did Sam want more than two of the tickets? Yes.
Michael got two of the shoes. Did Michael get three of the shoes?", No.,1
1,three-two,"Sam wanted three of the tickets. Did Sam want more than two of the tickets? Yes.
Three of the mugs are red. Are two of the mugs red?", Yes.,1
1,three-at least two,"Sam wanted three of the tickets. Did Sam want more than two of the tickets? Yes.
The woman noticed three of the cars. Did the woman notice at least two of the cars?", Yes.,1
1,at least two-three,"Sam wanted three of the tickets. Did Sam want more than two of the tickets? Yes.
Laura purchased at least two of the burgers. Did Laura purchase three of the burgers?", No.,0
1,three-three,"Sam wanted three of the tickets. Did Sam want more than two of the tickets? Yes.
Sophie noticed three of the rings. Did Sophie notice three of the rings?", Yes.,1
1,at least two-at least two,"Sam wanted three of the tickets. Did Sam want more than two of the tickets? Yes.
Mark wanted at least two of the backpacks. Did Mark want at least two of the backpacks?", Yes.,1
1,two-three,"The singer saw both of the mice. Did the singer see two of the mice? Yes.
Sally saw two of the keyrings. Did Sally see three of the keyrings?", No.,1
1,three-two,"The singer saw both of the mice. Did the singer see two of the mice? Yes.
The teacher had three of the bagels. Did the teacher have two of the bagels?", No.,0
1,three-at least two,"The singer saw both of the mice. Did the singer see two of the mice? Yes.
Robin purchased three of the cupcakes. Did Robin purchase at least two of the cupcakes?", Yes.,1
1,at least two-three,"The singer saw both of the mice. Did the singer see two of the mice? Yes.
Sidney owned at least two of the toys. Did Sidney own three of the toys?", No.,0
1,three-three,"The singer saw both of the mice. Did the singer see two of the mice? Yes.
Sophie wanted three of the cherries. Did Sophie want three of the cherries?", Yes.,1
1,at least two-at least two,"The singer saw both of the mice. Did the singer see two of the mice? Yes.
The man spotted at least two of the pretzels. Did the man spot at least two of the pretzels?", Yes.,1
1,two-three,"Sidney bought two of the mugs. Did Sidney buy more than one of the mugs? Yes.
Two of the toys are green. Are three of the toys green?", No.,1
1,three-two,"Sidney bought two of the mugs. Did Sidney buy more than one of the mugs? Yes.
Adam ordered three of the cakes. Did Adam order two of the cakes?", No.,0
1,three-at least two,"Sidney bought two of the mugs. Did Sidney buy more than one of the mugs? Yes.
Sidney bought three of the apples. Did Sidney buy at least two of the apples?", Yes.,1
1,at least two-three,"Sidney bought two of the mugs. Did Sidney buy more than one of the mugs? Yes.
Mary wanted at least two of the sandwiches. Did Mary want three of the sandwiches?", No.,0
1,three-three,"Sidney bought two of the mugs. Did Sidney buy more than one of the mugs? Yes.
The singer sold three of the pastries. Did the singer sell three of the pastries?", Yes.,1
1,at least two-at least two,"Sidney bought two of the mugs. Did Sidney buy more than one of the mugs? Yes.
The actor spotted at least two of the performers. Did the actor spot at least two of the performers?", Yes.,1
1,two-three,"John saw some of the parades. Did John see more than one of the parades? Yes.
John noticed two of the shoes. Did John notice three of the shoes?", No.,1
1,three-two,"John saw some of the parades. Did John see more than one of the parades? Yes.
Jo had three of the cupcakes. Did Jo have two of the cupcakes?", No.,0
1,three-at least two,"John saw some of the parades. Did John see more than one of the parades? Yes.
Three of the tickets are sold out. Are at least two of the tickets sold out?", Yes.,1
1,at least two-three,"John saw some of the parades. Did John see more than one of the parades? Yes.
Ann bought at least two of the mugs. Did Ann buy three of the mugs?", No.,0
1,three-three,"John saw some of the parades. Did John see more than one of the parades? Yes.
Ann ordered three of the tickets. Did Ann order three of the tickets?", Yes.,1
1,at least two-at least two,"John saw some of the parades. Did John see more than one of the parades? Yes.
Michael bought at least two of the pretzels. Did Michael buy at least two of the pretzels?", Yes.,1
1,two-three,"Sam had some of the pancakes. Did Sam have more than one of the pancakes? Yes.
Sally liked two of the apples. Did Sally like three of the apples?", No.,1
1,three-two,"Sam had some of the pancakes. Did Sam have more than one of the pancakes? Yes.
John ate three of the apples. Did John eat two of the apples?", No.,0
1,three-at least two,"Sam had some of the pancakes. Did Sam have more than one of the pancakes? Yes.
The actor noticed three of the pancakes. Did the actor notice at least two of the pancakes?", Yes.,1
1,at least two-three,"Sam had some of the pancakes. Did Sam have more than one of the pancakes? Yes.
John saw at least two of the pancakes. Did John see three of the pancakes?", No.,0
1,three-three,"Sam had some of the pancakes. Did Sam have more than one of the pancakes? Yes.
The woman wanted three of the scarves. Did the woman want three of the scarves?", Yes.,1
1,at least two-at least two,"Sam had some of the pancakes. Did Sam have more than one of the pancakes? Yes.
The woman purchased at least two of the cars. Did the woman purchase at least two of the cars?", Yes.,1
1,two-three,"Lucy noticed three of the performers. Did Lucy notice more than two of the performers? Yes.
Two of the sandwiches are delicious. Are three of the sandwiches delicious?", No.,1
1,three-two,"Lucy noticed three of the performers. Did Lucy notice more than two of the performers? Yes.
Laura wanted three of the mugs. Did Laura want two of the mugs?", Yes.,1
1,three-at least two,"Lucy noticed three of the performers. Did Lucy notice more than two of the performers? Yes.
The woman ordered three of the bottles. Did the woman order at least two of the bottles?", Yes.,1
1,at least two-three,"Lucy noticed three of the performers. Did Lucy notice more than two of the performers? Yes.
Mark had at least two of the churros. Did Mark have three of the churros?", No.,0
1,three-three,"Lucy noticed three of the performers. Did Lucy notice more than two of the performers? Yes.
Three of the shoes are yellow. Are three of the shoes yellow?", Yes.,1
1,at least two-at least two,"Lucy noticed three of the performers. Did Lucy notice more than two of the performers? Yes.
Mark had at least two of the mugs. Did Mark have at least two of the mugs?", Yes.,1
1,two-three,"The actor ordered three of the strawberries. Did the actor order three of the strawberries? Yes.
Robin wanted two of the backpacks. Did Robin want three of the backpacks?", No.,1
1,three-two,"The actor ordered three of the strawberries. Did the actor order three of the strawberries? Yes.
Ann wanted three of the hats. Did Ann want two of the hats?", No.,0
1,three-at least two,"The actor ordered three of the strawberries. Did the actor order three of the strawberries? Yes.
The teacher wanted three of the chocolates. Did the teacher want at least two of the chocolates?", Yes.,1
1,at least two-three,"The actor ordered three of the strawberries. Did the actor order three of the strawberries? Yes.
The actor liked at least two of the umbrellas. Did the actor like three of the umbrellas?", No.,0
1,three-three,"The actor ordered three of the strawberries. Did the actor order three of the strawberries? Yes.
The actor owned three of the bottles. Did the actor own three of the bottles?", No.,0
1,at least two-at least two,"The actor ordered three of the strawberries. Did the actor order three of the strawberries? Yes.
Sidney noticed at least two of the signs. Did Sidney notice at least two of the signs?", Yes.,1
1,two-three,"Michael had three of the cakes. Did Michael have more than two of the cakes? Yes.
Two of the pancakes are delicious. Are three of the pancakes delicious?", Yes.,0
1,three-two,"Michael had three of the cakes. Did Michael have more than two of the cakes? Yes.
Three of the scarves are expensive. Are two of the scarves expensive?", Yes.,1
1,three-at least two,"Michael had three of the cakes. Did Michael have more than two of the cakes? Yes.
Three of the bottles are red. Are at least two of the bottles red?", Yes.,1
1,at least two-three,"Michael had three of the cakes. Did Michael have more than two of the cakes? Yes.
Mary ordered at least two of the shoes. Did Mary order three of the shoes?", No.,0
1,three-three,"Michael had three of the cakes. Did Michael have more than two of the cakes? Yes.
Lucy saw three of the dogs. Did Lucy see three of the dogs?", Yes.,1
1,at least two-at least two,"Michael had three of the cakes. Did Michael have more than two of the cakes? Yes.
At least two of the tickets are orange. Are at least two of the tickets orange?", Yes.,1
1,two-three,"Three of the peanuts are tasty. Are more than two of the peanuts tasty? Yes.
Sam spotted two of the scarves. Did Sam spot three of the scarves?", No.,1
1,three-two,"Three of the peanuts are tasty. Are more than two of the peanuts tasty? Yes.
Jim had three of the cakes. Did Jim have two of the cakes?", Yes.,1
1,three-at least two,"Three of the peanuts are tasty. Are more than two of the peanuts tasty? Yes.
Sam saw three of the sandwiches. Did Sam see at least two of the sandwiches?", Yes.,1
1,at least two-three,"Three of the peanuts are tasty. Are more than two of the peanuts tasty? Yes.
Adam bought at least two of the burgers. Did Adam buy three of the burgers?", No.,0
1,three-three,"Three of the peanuts are tasty. Are more than two of the peanuts tasty? Yes.
The woman bought three of the rings. Did the woman buy three of the rings?", Yes.,1
1,at least two-at least two,"Three of the peanuts are tasty. Are more than two of the peanuts tasty? Yes.
Ann had at least two of the pastries. Did Ann have at least two of the pastries?", Yes.,1
1,two-three,"Jim owned three of the strawberries. Did Jim own more than two of the strawberries? Yes.
Sophie liked two of the apples. Did Sophie like three of the apples?", No.,1
1,three-two,"Jim owned three of the strawberries. Did Jim own more than two of the strawberries? Yes.
Three of the apples are warm. Are two of the apples warm?", Yes.,1
1,three-at least two,"Jim owned three of the strawberries. Did Jim own more than two of the strawberries? Yes.
Sidney spotted three of the temples. Did Sidney spot at least two of the temples?", Yes.,1
1,at least two-three,"Jim owned three of the strawberries. Did Jim own more than two of the strawberries? Yes.
Ann saw at least two of the scarves. Did Ann see three of the scarves?", No.,0
1,three-three,"Jim owned three of the strawberries. Did Jim own more than two of the strawberries? Yes.
Bill wanted three of the candles. Did Bill want three of the candles?", Yes.,1
1,at least two-at least two,"Jim owned three of the strawberries. Did Jim own more than two of the strawberries? Yes.
Sam ate at least two of the peanuts. Did Sam eat at least two of the peanuts?", Yes.,1
1,two-three,"Two of the shirts are expensive. Are some of the shirts expensive? Yes.
Two of the umbrellas are affordable. Are three of the umbrellas affordable?", No.,1
1,three-two,"Two of the shirts are expensive. Are some of the shirts expensive? Yes.
John spotted three of the bottles. Did John spot two of the bottles?", Yes.,1
1,three-at least two,"Two of the shirts are expensive. Are some of the shirts expensive? Yes.
Three of the scarves are orange. Are at least two of the scarves orange?", Yes.,1
1,at least two-three,"Two of the shirts are expensive. Are some of the shirts expensive? Yes.
The woman spotted at least two of the hats. Did the woman spot three of the hats?", No.,0
1,three-three,"Two of the shirts are expensive. Are some of the shirts expensive? Yes.
Laura sold three of the peanuts. Did Laura sell three of the peanuts?", Yes.,1
1,at least two-at least two,"Two of the shirts are expensive. Are some of the shirts expensive? Yes.
At least two of the backpacks are yellow. Are at least two of the backpacks yellow?", Yes.,1
1,two-three,"Mary had both of the burgers. Did Mary have both of the burgers? Yes.
The actress saw two of the sights. Did the actress see three of the sights?", No.,1
1,three-two,"Mary had both of the burgers. Did Mary have both of the burgers? Yes.
The actress spotted three of the signs. Did the actress spot two of the signs?", Yes.,1
1,three-at least two,"Mary had both of the burgers. Did Mary have both of the burgers? Yes.
The woman had three of the cupcakes. Did the woman have at least two of the cupcakes?", Yes.,1
1,at least two-three,"Mary had both of the burgers. Did Mary have both of the burgers? Yes.
At least two of the umbrellas are orange. Are three of the umbrellas orange?", Yes.,0
1,three-three,"Mary had both of the burgers. Did Mary have both of the burgers? Yes.
Michael ate three of the oranges. Did Michael eat three of the oranges?", Yes.,1
1,at least two-at least two,"Mary had both of the burgers. Did Mary have both of the burgers? Yes.
At least two of the cupcakes are sold out. Are at least two of the cupcakes sold out?", Yes.,1
1,two-three,"Laura saw some of the cars. Did Laura see more than one of the cars? Yes.
Ann wanted two of the toys. Did Ann want three of the toys?", No.,1
1,three-two,"Laura saw some of the cars. Did Laura see more than one of the cars? Yes.
The singer purchased three of the mugs. Did the singer purchase two of the mugs?", No.,0
1,three-at least two,"Laura saw some of the cars. Did Laura see more than one of the cars? Yes.
Sophie spotted three of the tickets. Did Sophie spot at least two of the tickets?", Yes.,1
1,at least two-three,"Laura saw some of the cars. Did Laura see more than one of the cars? Yes.
Sam sold at least two of the cupcakes. Did Sam sell three of the cupcakes?", No.,0
1,three-three,"Laura saw some of the cars. Did Laura see more than one of the cars? Yes.
Three of the mugs are blue. Are three of the mugs blue?", Yes.,1
1,at least two-at least two,"Laura saw some of the cars. Did Laura see more than one of the cars? Yes.
Jim wanted at least two of the cars. Did Jim want at least two of the cars?", Yes.,1
1,two-three,"The teacher ordered both of the strawberries. Did the teacher order both of the strawberries? Yes.
The man purchased two of the sandwiches. Did the man purchase three of the sandwiches?", No.,1
1,three-two,"The teacher ordered both of the strawberries. Did the teacher order both of the strawberries? Yes.
Sophie sold three of the oranges. Did Sophie sell two of the oranges?", No.,0
1,three-at least two,"The teacher ordered both of the strawberries. Did the teacher order both of the strawberries? Yes.
Sally noticed three of the apples. Did Sally notice at least two of the apples?", Yes.,1
1,at least two-three,"The teacher ordered both of the strawberries. Did the teacher order both of the strawberries? Yes.
At least two of the umbrellas are yellow. Are three of the umbrellas yellow?", Yes.,0
1,three-three,"The teacher ordered both of the strawberries. Did the teacher order both of the strawberries? Yes.
Sophie noticed three of the mice. Did Sophie notice three of the mice?", Yes.,1
1,at least two-at least two,"The teacher ordered both of the strawberries. Did the teacher order both of the strawberries? Yes.
Laura saw at least two of the cupcakes. Did Laura see at least two of the cupcakes?", Yes.,1
1,two-three,"Mark bought both of the oranges. Did Mark buy two of the oranges? Yes.
Sally spotted two of the stores. Did Sally spot three of the stores?", No.,1
1,three-two,"Mark bought both of the oranges. Did Mark buy two of the oranges? Yes.
Three of the burgers are tasty. Are two of the burgers tasty?", No.,0
1,three-at least two,"Mark bought both of the oranges. Did Mark buy two of the oranges? Yes.
Sophie saw three of the pastries. Did Sophie see at least two of the pastries?", Yes.,1
1,at least two-three,"Mark bought both of the oranges. Did Mark buy two of the oranges? Yes.
John wanted at least two of the pancakes. Did John want three of the pancakes?", No.,0
1,three-three,"Mark bought both of the oranges. Did Mark buy two of the oranges? Yes.
John sold three of the pretzels. Did John sell three of the pretzels?", Yes.,1
1,at least two-at least two,"Mark bought both of the oranges. Did Mark buy two of the oranges? Yes.
The actress noticed at least two of the oranges. Did the actress notice at least two of the oranges?", Yes.,1
1,two-three,"The actor spotted half of the keyrings. Did the actor spot half of the keyrings? Yes.
Ann bought two of the shoes. Did Ann buy three of the shoes?", No.,1
1,three-two,"The actor spotted half of the keyrings. Did the actor spot half of the keyrings? Yes.
Sam noticed three of the apples. Did Sam notice two of the apples?", Yes.,1
1,three-at least two,"The actor spotted half of the keyrings. Did the actor spot half of the keyrings? Yes.
Sally noticed three of the pastries. Did Sally notice at least two of the pastries?", Yes.,1
1,at least two-three,"The actor spotted half of the keyrings. Did the actor spot half of the keyrings? Yes.
Sidney sold at least two of the pastries. Did Sidney sell three of the pastries?", No.,0
1,three-three,"The actor spotted half of the keyrings. Did the actor spot half of the keyrings? Yes.
Sophie had three of the strawberries. Did Sophie have three of the strawberries?", Yes.,1
1,at least two-at least two,"The actor spotted half of the keyrings. Did the actor spot half of the keyrings? Yes.
The teacher purchased at least two of the bagels. Did the teacher purchase at least two of the bagels?", Yes.,1
1,two-three,"Laura bought half of the cars. Did Laura buy some of the cars? Yes.
Two of the sweaters are colourful. Are three of the sweaters colourful?", No.,1
1,three-two,"Laura bought half of the cars. Did Laura buy some of the cars? Yes.
Ann got three of the oranges. Did Ann get two of the oranges?", No.,0
1,three-at least two,"Laura bought half of the cars. Did Laura buy some of the cars? Yes.
Three of the keyrings are expensive. Are at least two of the keyrings expensive?", Yes.,1
1,at least two-three,"Laura bought half of the cars. Did Laura buy some of the cars? Yes.
Laura owned at least two of the tickets. Did Laura own three of the tickets?", No.,0
1,three-three,"Laura bought half of the cars. Did Laura buy some of the cars? Yes.
Ann saw three of the tickets. Did Ann see three of the tickets?", Yes.,1
1,at least two-at least two,"Laura bought half of the cars. Did Laura buy some of the cars? Yes.
At least two of the signs are colourful. Are at least two of the signs colourful?", Yes.,1
2,two-three,"The man got several of the backpacks. Did the man get none of the backpacks? No.
Ann ordered half of the burgers. Did Ann order some of the burgers? Yes.
Sam noticed two of the bagels. Did Sam notice three of the bagels?", No.,1
2,three-two,"The man got several of the backpacks. Did the man get none of the backpacks? No.
Ann ordered half of the burgers. Did Ann order some of the burgers? Yes.
Bill had three of the shirts. Did Bill have two of the shirts?", No.,0
2,three-at least two,"The man got several of the backpacks. Did the man get none of the backpacks? No.
Ann ordered half of the burgers. Did Ann order some of the burgers? Yes.
Three of the cherries are on sale. Are at least two of the cherries on sale?", Yes.,1
2,at least two-three,"The man got several of the backpacks. Did the man get none of the backpacks? No.
Ann ordered half of the burgers. Did Ann order some of the burgers? Yes.
Mark saw at least two of the umbrellas. Did Mark see three of the umbrellas?", No.,0
2,three-three,"The man got several of the backpacks. Did the man get none of the backpacks? No.
Ann ordered half of the burgers. Did Ann order some of the burgers? Yes.
Three of the apples are cold. Are three of the apples cold?", Yes.,1
2,at least two-at least two,"The man got several of the backpacks. Did the man get none of the backpacks? No.
Ann ordered half of the burgers. Did Ann order some of the burgers? Yes.
At least two of the stores are impressive. Are at least two of the stores impressive?", Yes.,1
2,two-three,"Laura bought three of the keyrings. Did Laura buy more than two of the keyrings? Yes.
Bill wanted all of the pancakes. Did Bill want none of the pancakes? No.
Jo sold two of the cars. Did Jo sell three of the cars?", No.,1
2,three-two,"Laura bought three of the keyrings. Did Laura buy more than two of the keyrings? Yes.
Bill wanted all of the pancakes. Did Bill want none of the pancakes? No.
Jo sold three of the cupcakes. Did Jo sell two of the cupcakes?", Yes.,1
2,three-at least two,"Laura bought three of the keyrings. Did Laura buy more than two of the keyrings? Yes.
Bill wanted all of the pancakes. Did Bill want none of the pancakes? No.
Sophie saw three of the hats. Did Sophie see at least two of the hats?", Yes.,1
2,at least two-three,"Laura bought three of the keyrings. Did Laura buy more than two of the keyrings? Yes.
Bill wanted all of the pancakes. Did Bill want none of the pancakes? No.
The singer saw at least two of the stores. Did the singer see three of the stores?", Yes.,0
2,three-three,"Laura bought three of the keyrings. Did Laura buy more than two of the keyrings? Yes.
Bill wanted all of the pancakes. Did Bill want none of the pancakes? No.
Sophie noticed three of the pretzels. Did Sophie notice three of the pretzels?", Yes.,1
2,at least two-at least two,"Laura bought three of the keyrings. Did Laura buy more than two of the keyrings? Yes.
Bill wanted all of the pancakes. Did Bill want none of the pancakes? No.
Jo purchased at least two of the cherries. Did Jo purchase at least two of the cherries?", Yes.,1
2,two-three,"The actor liked both of the tickets. Did the actor like two of the tickets? Yes.
The woman wanted all of the cupcakes. Did the woman want none of the cupcakes? No.
The actor owned two of the pastries. Did the actor own three of the pastries?", No.,1
2,three-two,"The actor liked both of the tickets. Did the actor like two of the tickets? Yes.
The woman wanted all of the cupcakes. Did the woman want none of the cupcakes? No.
Sophie got three of the keyrings. Did Sophie get two of the keyrings?", No.,0
2,three-at least two,"The actor liked both of the tickets. Did the actor like two of the tickets? Yes.
The woman wanted all of the cupcakes. Did the woman want none of the cupcakes? No.
Bill noticed three of the mice. Did Bill notice at least two of the mice?", Yes.,1
2,at least two-three,"The actor liked both of the tickets. Did the actor like two of the tickets? Yes.
The woman wanted all of the cupcakes. Did the woman want none of the cupcakes? No.
Adam spotted at least two of the shoes. Did Adam spot three of the shoes?", No.,0
2,three-three,"The actor liked both of the tickets. Did the actor like two of the tickets? Yes.
The woman wanted all of the cupcakes. Did the woman want none of the cupcakes? No.
Ann bought three of the hats. Did Ann buy three of the hats?", Yes.,1
2,at least two-at least two,"The actor liked both of the tickets. Did the actor like two of the tickets? Yes.
The woman wanted all of the cupcakes. Did the woman want none of the cupcakes? No.
Mark liked at least two of the pastries. Did Mark like at least two of the pastries?", Yes.,1
2,two-three,"Both of the sweaters are yellow. Are all of the sweaters yellow? Yes.
Sidney owned none of the snacks. Did Sidney own two of the snacks? No.
Lucy noticed two of the sweaters. Did Lucy notice three of the sweaters?", No.,1
2,three-two,"Both of the sweaters are yellow. Are all of the sweaters yellow? Yes.
Sidney owned none of the snacks. Did Sidney own two of the snacks? No.
Three of the peanuts are cheap. Are two of the peanuts cheap?", No.,0
2,three-at least two,"Both of the sweaters are yellow. Are all of the sweaters yellow? Yes.
Sidney owned none of the snacks. Did Sidney own two of the snacks? No.
Ann purchased three of the pretzels. Did Ann purchase at least two of the pretzels?", Yes.,1
2,at least two-three,"Both of the sweaters are yellow. Are all of the sweaters yellow? Yes.
Sidney owned none of the snacks. Did Sidney own two of the snacks? No.
Adam liked at least two of the rings. Did Adam like three of the rings?", Yes.,0
2,three-three,"Both of the sweaters are yellow. Are all of the sweaters yellow? Yes.
Sidney owned none of the snacks. Did Sidney own two of the snacks? No.
Lucy bought three of the chocolates. Did Lucy buy three of the chocolates?", Yes.,1
2,at least two-at least two,"Both of the sweaters are yellow. Are all of the sweaters yellow? Yes.
Sidney owned none of the snacks. Did Sidney own two of the snacks? No.
Bill sold at least two of the rings. Did Bill sell at least two of the rings?", Yes.,1
2,two-three,"Sophie had three of the shirts. Did Sophie have more than two of the shirts? Yes.
The actor saw none of the hats. Did the actor see several of the hats? No.
Jim ate two of the pastries. Did Jim eat three of the pastries?", No.,1
2,three-two,"Sophie had three of the shirts. Did Sophie have more than two of the shirts? Yes.
The actor saw none of the hats. Did the actor see several of the hats? No.
The actress saw three of the cupcakes. Did the actress see two of the cupcakes?", Yes.,1
