PrefixLength,Determiners,Prompt,Answer,Correct,YesLogProb,NoLogProb,MaybeLogProb,LogProbDelta
0,all-all,"If all of the cherries are impressive, you will get a prize. All of the cherries are impressive. Do you get a prize?","

",0,-2.5046933,-2.6077816,,-0.10308830000000002
0,some-some,"If Sophie has some of the candles, Sophie will get a prize. Sophie had some of the candles. Does Sophie get a prize?","

",0,-2.3431818,-3.0621877,,-0.7190059
0,some-all,"If the singer buys all of the tickets, the singer will get a prize. The singer bought some of the tickets. Does the singer get a prize?","

",0,-2.9986534,-3.6264687,,0.6278153000000004
0,all-some,"If Sophie sells some of the peanuts, Sophie will get a prize. Sophie sold all of the peanuts. Does Sophie get a prize?","

",0,-2.30967,-3.072556,,-0.762886
0,all-all,"If the woman owns all of the keyrings, the woman will get a prize. The woman owned all of the keyrings. Does the woman get a prize?","

",0,-2.721666,-3.2173326,,-0.4956666000000003
0,some-some,"If some of the bottles are yellow, you will get a prize. Some of the bottles are yellow. Do you get a prize?","

",0,-2.974025,-3.1225429,,-0.14851789999999987
0,some-all,"If the teacher buys all of the shoes, the teacher will get a prize. The teacher bought some of the shoes. Does the teacher get a prize?","

",0,-2.824017,-2.8855708,,0.06155379999999999
0,all-some,"If some of the candles are yellow, you will get a prize. All of the candles are yellow. Do you get a prize?","

",0,-2.842744,-2.4124997,,0.4302443
0,all-all,"If Sidney has all of the pretzels, Sidney will get a prize. Sidney had all of the pretzels. Does Sidney get a prize?","

",0,-2.609095,-2.8423295,,-0.2332345
0,some-some,"If some of the oranges are sold out, you will get a prize. Some of the oranges are sold out. Do you get a prize?","

",0,-2.6605394,-2.8275394,,-0.16699999999999982
0,some-all,"If Ann purchases all of the cupcakes, Ann will get a prize. Ann purchased some of the cupcakes. Does Ann get a prize?","

",0,-2.9756308,-3.275161,,0.2995302000000004
0,all-some,"If the man wants some of the bottles, the man will get a prize. The man wanted all of the bottles. Does the man get a prize?","

",0,-2.225134,-2.4880352,,-0.26290119999999995
0,all-all,"If all of the rings are colourful, you will get a prize. All of the rings are colourful. Do you get a prize?","

",0,-2.5048156,-2.6194015,,-0.1145858999999998
0,some-some,"If Mark spots some of the bottles, Mark will get a prize. Mark spotted some of the bottles. Does Mark get a prize?","

",0,-2.5259306,-2.8961928,,-0.3702622
0,some-all,"If the singer notices all of the chocolates, the singer will get a prize. The singer noticed some of the chocolates. Does the singer get a prize?","

",0,-3.0329604,,,
0,all-some,"If Lucy eats some of the pancakes, Lucy will get a prize. Lucy ate all of the pancakes. Does Lucy get a prize?","

",0,-2.4384003,-2.837658,,-0.3992576999999997
0,all-all,"If the teacher spots all of the candles, the teacher will get a prize. The teacher spotted all of the candles. Does the teacher get a prize?","

",0,-2.2914612,-2.7073739,,-0.4159126999999998
0,some-some,"If Bill sells some of the snacks, Bill will get a prize. Bill sold some of the snacks. Does Bill get a prize?","

",0,-2.4153688,,,
0,some-all,"If Sidney sells all of the sweaters, Sidney will get a prize. Sidney sold some of the sweaters. Does Sidney get a prize?","

",0,-2.7573712,-3.1204844,,0.3631131999999999
0,all-some,"If the woman has some of the hats, the woman will get a prize. The woman had all of the hats. Does the woman get a prize?","

",0,-2.0574968,,,
0,all-all,"If John purchases all of the churros, John will get a prize. John purchased all of the churros. Does John get a prize?","

",0,-2.5384502,-3.5618038,,-1.0233535999999996
0,some-some,"If some of the bagels are delicious, you will get a prize. Some of the bagels are delicious. Do you get a prize?","

",0,-3.1724868,-3.1521847,,0.020302100000000323
0,some-all,"If Bill owns all of the bottles, Bill will get a prize. Bill owned some of the bottles. Does Bill get a prize?","

",0,-3.2456906,-3.181989,,-0.06370159999999991
0,all-some,"If the actor wants some of the cupcakes, the actor will get a prize. The actor wanted all of the cupcakes. Does the actor get a prize?","

",0,-2.0658977,-2.3011348,,-0.23523709999999998
0,all-all,"If Ann gets all of the strawberries, Ann will get a prize. Ann got all of the strawberries. Does Ann get a prize?","

",0,-2.5838335,-3.5328348,,-0.9490012999999999
0,some-some,"If Robin eats some of the chocolates, Robin will get a prize. Robin ate some of the chocolates. Does Robin get a prize?","

",0,-1.9928753,-2.8105974,,-0.8177220999999999
0,some-all,"If the teacher sells all of the chocolates, the teacher will get a prize. The teacher sold some of the chocolates. Does the teacher get a prize?","

",0,-2.8157606,,,
0,all-some,"If Jo purchases some of the shoes, Jo will get a prize. Jo purchased all of the shoes. Does Jo get a prize?","

",0,-2.8599582,,,
0,all-all,"If Jo purchases all of the sandwiches, Jo will get a prize. Jo purchased all of the sandwiches. Does Jo get a prize?","

",0,-2.7989535,-3.5874856,,-0.7885320999999998
0,some-some,"If the teacher eats some of the apples, the teacher will get a prize. The teacher ate some of the apples. Does the teacher get a prize?","

",0,-2.5674746,,,
0,some-all,"If Jim purchases all of the sweaters, Jim will get a prize. Jim purchased some of the sweaters. Does Jim get a prize?","

",0,-3.0376632,-3.0918968,,0.05423359999999988
0,all-some,"If the actress gets some of the peanuts, the actress will get a prize. The actress got all of the peanuts. Does the actress get a prize?","

",0,-2.4917178,-3.1855996,,-0.6938818000000002
0,all-all,"If Robin likes all of the pancakes, Robin will get a prize. Robin liked all of the pancakes. Does Robin get a prize?","

",0,-2.0876687,-3.080764,,-0.9930952999999998
0,some-some,"If Robin sees some of the chocolates, Robin will get a prize. Robin saw some of the chocolates. Does Robin get a prize?","

",0,-2.4285398,-3.209961,,-0.7814212
0,some-all,"If Bill buys all of the cars, Bill will get a prize. Bill bought some of the cars. Does Bill get a prize?","

",0,-3.1127596,-3.153714,,0.040954399999999946
0,all-some,"If the woman purchases some of the keyrings, the woman will get a prize. The woman purchased all of the keyrings. Does the woman get a prize?","

",0,,,,
0,all-all,"If Sidney wants all of the pancakes, Sidney will get a prize. Sidney wanted all of the pancakes. Does Sidney get a prize?","

",0,-2.3169541,-2.5657258,,-0.24877170000000026
0,some-some,"If John has some of the apples, John will get a prize. John had some of the apples. Does John get a prize?","

",0,-2.8586812,-3.4873812,,-0.6287000000000003
0,some-all,"If Mary notices all of the shirts, Mary will get a prize. Mary noticed some of the shirts. Does Mary get a prize?","

",0,-3.019528,,,
0,all-some,"If Sidney wants some of the tickets, Sidney will get a prize. Sidney wanted all of the tickets. Does Sidney get a prize?","

",0,-2.572218,-2.0311794,,0.5410385999999998
0,all-all,"If Adam sells all of the pretzels, Adam will get a prize. Adam sold all of the pretzels. Does Adam get a prize?","

",0,-2.5478323,-3.5393407,,-0.9915083999999998
0,some-some,"If Sam eats some of the pretzels, Sam will get a prize. Sam ate some of the pretzels. Does Sam get a prize?","

",0,-2.7676466,-3.0895379,,-0.3218912999999999
0,some-all,"If Lucy gets all of the sandwiches, Lucy will get a prize. Lucy got some of the sandwiches. Does Lucy get a prize?","

",0,-2.6837606,-2.7508762,,0.06711560000000016
0,all-some,"If some of the cherries are cold, you will get a prize. All of the cherries are cold. Do you get a prize?","

",0,-2.8059516,-2.7512069,,0.05474470000000009
0,all-all,"If Robin sells all of the burgers, Robin will get a prize. Robin sold all of the burgers. Does Robin get a prize?","

",0,-1.9774911,-3.2301917,,-1.2527006000000003
0,some-some,"If Jim buys some of the toys, Jim will get a prize. Jim bought some of the toys. Does Jim get a prize?","

",0,-2.7334764,-3.4393172,,-0.7058408000000003
0,some-all,"If Jo wants all of the strawberries, Jo will get a prize. Jo wanted some of the strawberries. Does Jo get a prize?","

",0,-2.7639108,-1.9533982,,-0.8105126
0,all-some,"If some of the dogs are colourful, you will get a prize. All of the dogs are colourful. Do you get a prize?","

",0,-2.7968514,-2.951938,,-0.15508660000000019
0,all-all,"If the woman orders all of the cars, the woman will get a prize. The woman ordered all of the cars. Does the woman get a prize?","

",0,-2.316876,-3.2521136,,-0.9352375999999998
0,some-some,"If Adam buys some of the cars, Adam will get a prize. Adam bought some of the cars. Does Adam get a prize?","

",0,-2.8691413,-3.659272,,-0.7901307000000002
0,some-all,"If Jim likes all of the oranges, Jim will get a prize. Jim liked some of the oranges. Does Jim get a prize?","

",0,-3.3526094,-2.8713892,,-0.4812202000000001
0,all-some,"If Sophie purchases some of the chocolates, Sophie will get a prize. Sophie purchased all of the chocolates. Does Sophie get a prize?","

",0,-2.5828762,-3.3121698,,-0.7292936000000001
0,all-all,"If Mark spots all of the candles, Mark will get a prize. Mark spotted all of the candles. Does Mark get a prize?","

",0,-2.2877316,-2.589745,,-0.3020134000000003
0,some-some,"If Bill purchases some of the apples, Bill will get a prize. Bill purchased some of the apples. Does Bill get a prize?","

",0,-2.5227633,,,
0,some-all,"If Sophie sells all of the cupcakes, Sophie will get a prize. Sophie sold some of the cupcakes. Does Sophie get a prize?","

",0,-2.6542158,-3.248614,,0.5943982000000001
0,all-some,"If some of the backpacks are sold out, you will get a prize. All of the backpacks are sold out. Do you get a prize?","

",0,-2.392859,-2.20526,,0.18759900000000007
0,all-all,"If Sam eats all of the bagels, Sam will get a prize. Sam ate all of the bagels. Does Sam get a prize?","

",0,-2.970077,-3.3390462,,-0.3689692
0,some-some,"If the actor purchases some of the rings, the actor will get a prize. The actor purchased some of the rings. Does the actor get a prize?","

",0,-2.468993,,,
0,some-all,"If the actor has all of the cherries, the actor will get a prize. The actor had some of the cherries. Does the actor get a prize?","

",0,-3.226757,-2.9908597,,-0.23589729999999998
0,all-some,"If Robin orders some of the shoes, Robin will get a prize. Robin ordered all of the shoes. Does Robin get a prize?","

",0,-2.2537527,-3.0235014,,-0.7697486999999996
0,all-all,"If Jo has all of the shoes, Jo will get a prize. Jo had all of the shoes. Does Jo get a prize?","

",0,-2.6214082,-3.3562331,,-0.7348249
0,some-some,"If Mark eats some of the peanuts, Mark will get a prize. Mark ate some of the peanuts. Does Mark get a prize?","

",0,-2.4993749,-3.0916142,,-0.5922393000000001
0,some-all,"If John sees all of the apples, John will get a prize. John saw some of the apples. Does John get a prize?","

",0,-3.679028,-3.3385434,,-0.34048460000000036
0,all-some,"If John buys some of the sandwiches, John will get a prize. John bought all of the sandwiches. Does John get a prize?","

",0,-2.85894,-3.253822,,-0.39488199999999996
0,all-all,"If Mark eats all of the pretzels, Mark will get a prize. Mark ate all of the pretzels. Does Mark get a prize?","

",0,-2.841379,-3.5030494,,-0.6616704000000002
0,some-some,"If John owns some of the shirts, John will get a prize. John owned some of the shirts. Does John get a prize?","

",0,-2.517337,-3.3541484,,-0.8368114000000002
0,some-all,"If Mary gets all of the bottles, Mary will get a prize. Mary got some of the bottles. Does Mary get a prize?","

",0,-2.9162009,-3.0762925,,0.1600915999999999
0,all-some,"If the man wants some of the sandwiches, the man will get a prize. The man wanted all of the sandwiches. Does the man get a prize?","

",0,-2.0973177,-2.1365633,,-0.0392456000000001
0,all-all,"If Adam sells all of the backpacks, Adam will get a prize. Adam sold all of the backpacks. Does Adam get a prize?","

",0,-2.3541222,-3.576946,,-1.2228238
0,some-some,"If Sophie notices some of the dogs, Sophie will get a prize. Sophie noticed some of the dogs. Does Sophie get a prize?","

",0,-2.3745682,-2.858291,,-0.4837227999999998
0,some-all,"If Sidney spots all of the sweaters, Sidney will get a prize. Sidney spotted some of the sweaters. Does Sidney get a prize?","

",0,-3.1551008,-2.8665535,,-0.28854729999999984
0,all-some,"If the man spots some of the pastries, the man will get a prize. The man spotted all of the pastries. Does the man get a prize?","

",0,-2.5122786,-3.0801344,,-0.5678557999999998
0,all-all,"If all of the hats are on sale, you will get a prize. All of the hats are on sale. Do you get a prize?","

",0,-2.3818758,-2.7827544,,-0.4008786
0,some-some,"If Bill likes some of the chocolates, Bill will get a prize. Bill liked some of the chocolates. Does Bill get a prize?","

",0,-2.9369786,,,
0,some-all,"If the actor sells all of the pancakes, the actor will get a prize. The actor sold some of the pancakes. Does the actor get a prize?","

",0,-2.6564512,-2.8511493,,0.1946981000000001
0,all-some,"If the actor notices some of the rings, the actor will get a prize. The actor noticed all of the rings. Does the actor get a prize?","

",0,-2.4965036,-3.1700647,,-0.6735611000000001
0,all-all,"If Robin gets all of the cupcakes, Robin will get a prize. Robin got all of the cupcakes. Does Robin get a prize?","

",0,-1.7978523,-2.7200327,,-0.9221804
0,some-some,"If Sophie purchases some of the umbrellas, Sophie will get a prize. Sophie purchased some of the umbrellas. Does Sophie get a prize?","

",0,-2.4385734,-3.3885434,,-0.94997
0,some-all,"If Laura likes all of the pastries, Laura will get a prize. Laura liked some of the pastries. Does Laura get a prize?","

",0,-3.1348646,-3.2199092,,0.08504460000000025
0,all-some,"If the teacher orders some of the pancakes, the teacher will get a prize. The teacher ordered all of the pancakes. Does the teacher get a prize?","

",0,-2.5670965,-2.9161108,,-0.3490142999999999
0,all-all,"If Jim has all of the cakes, Jim will get a prize. Jim had all of the cakes. Does Jim get a prize?","

",0,-2.5629292,-3.1269433,,-0.5640141000000001
0,some-some,"If Sam purchases some of the rings, Sam will get a prize. Sam purchased some of the rings. Does Sam get a prize?","

",0,-2.5778217,,,
1,some-all,"If Jim orders more than one of the burgers, Jim will get a prize. Jim ordered some of the burgers. Does Jim get a prize? Yes.
If John gets all of the scarves, John will get a prize. John got some of the scarves. Does John get a prize?", No.,1,-0.96856886,-0.58789647,-3.9412365,-0.38067238999999997
1,all-some,"If Jim orders more than one of the burgers, Jim will get a prize. Jim ordered some of the burgers. Does Jim get a prize? Yes.
If the singer sells some of the rings, the singer will get a prize. The singer sold all of the rings. Does the singer get a prize?", No.,0,-0.7637389,-0.6800405,-6.7872863,0.08369839999999995
1,all-all,"If Jim orders more than one of the burgers, Jim will get a prize. Jim ordered some of the burgers. Does Jim get a prize? Yes.
If the actor sells all of the bagels, the actor will get a prize. The actor sold all of the bagels. Does the actor get a prize?", Yes.,1,-0.41484588,-1.1813178,-6.3463526,-0.76647192
1,some-some,"If Jim orders more than one of the burgers, Jim will get a prize. Jim ordered some of the burgers. Does Jim get a prize? Yes.
If some of the bagels are mouldy, you will get a prize. Some of the bagels are mouldy. Do you get a prize?", Yes.,1,-0.72785276,-0.7690972,-5.0588307,-0.04124444000000005
1,some-all,"If Mary sees more than one of the tickets, Mary will get a prize. Mary saw some of the tickets. Does Mary get a prize? Yes.
If Sally sees all of the shoes, Sally will get a prize. Sally saw some of the shoes. Does Sally get a prize?", No.,1,-1.0174613,-0.50705105,-4.7725005,-0.51041025
1,all-some,"If Mary sees more than one of the tickets, Mary will get a prize. Mary saw some of the tickets. Does Mary get a prize? Yes.
If Bill purchases some of the mugs, Bill will get a prize. Bill purchased all of the mugs. Does Bill get a prize?", No.,0,-0.89640987,-0.55756944,-6.8622336,0.3388404300000001
1,all-all,"If Mary sees more than one of the tickets, Mary will get a prize. Mary saw some of the tickets. Does Mary get a prize? Yes.
If the teacher eats all of the peanuts, the teacher will get a prize. The teacher ate all of the peanuts. Does the teacher get a prize?", Yes.,1,-0.70380276,-0.72377646,-6.544497,-0.019973699999999983
1,some-some,"If Mary sees more than one of the tickets, Mary will get a prize. Mary saw some of the tickets. Does Mary get a prize? Yes.
If the actress eats some of the snacks, the actress will get a prize. The actress ate some of the snacks. Does the actress get a prize?", Yes.,1,-0.4668469,-1.0615315,-5.3213806,-0.5946846000000001
1,some-all,"If the teacher likes half of the hats, the teacher will get a prize. The teacher liked half of the hats. Does the teacher get a prize? Yes.
If Jim eats all of the cherries, Jim will get a prize. Jim ate some of the cherries. Does Jim get a prize?", No.,1,-1.6354855,-0.390273,-2.9252155,-1.2452125
1,all-some,"If the teacher likes half of the hats, the teacher will get a prize. The teacher liked half of the hats. Does the teacher get a prize? Yes.
If the actor spots some of the cakes, the actor will get a prize. The actor spotted all of the cakes. Does the actor get a prize?", Yes.,1,-0.5917351,-0.85336614,,-0.26163104000000004
1,all-all,"If the teacher likes half of the hats, the teacher will get a prize. The teacher liked half of the hats. Does the teacher get a prize? Yes.
If Mary has all of the pastries, Mary will get a prize. Mary had all of the pastries. Does Mary get a prize?", Yes.,1,-0.5134041,-0.9875749,-6.0311155,-0.4741708
1,some-some,"If the teacher likes half of the hats, the teacher will get a prize. The teacher liked half of the hats. Does the teacher get a prize? Yes.
If Mark eats some of the cupcakes, Mark will get a prize. Mark ate some of the cupcakes. Does Mark get a prize?", Yes.,1,-0.5841926,-0.93719697,-4.2160587,-0.35300437000000007
1,some-all,"If both of the candles are pretty, you will get a prize. Both of the candles are pretty. Do you get a prize? Yes.
If John owns all of the bottles, John will get a prize. John owned some of the bottles. Does John get a prize?", No.,1,-1.1781728,-0.51456815,-4.0127716,-0.66360465
1,all-some,"If both of the candles are pretty, you will get a prize. Both of the candles are pretty. Do you get a prize? Yes.
If Bill sees some of the oranges, Bill will get a prize. Bill saw all of the oranges. Does Bill get a prize?", Yes.,1,-0.61304915,-0.8789678,,-0.2659186499999999
1,all-all,"If both of the candles are pretty, you will get a prize. Both of the candles are pretty. Do you get a prize? Yes.
If all of the shirts are cheap, you will get a prize. All of the shirts are cheap. Do you get a prize?", Yes.,1,-0.4270586,-1.1236186,,-0.6965599999999998
1,some-some,"If both of the candles are pretty, you will get a prize. Both of the candles are pretty. Do you get a prize? Yes.
If Ann gets some of the sandwiches, Ann will get a prize. Ann got some of the sandwiches. Does Ann get a prize?", Yes.,1,-0.57609695,-0.976087,,-0.39999005
1,some-all,"If both of the bagels are affordable, you will get a prize. Both of the bagels are affordable. Do you get a prize? Yes.
If Jo likes all of the shoes, Jo will get a prize. Jo liked some of the shoes. Does Jo get a prize?", No.,1,-1.2330713,-0.48820207,-4.5974894,-0.7448692299999999
1,all-some,"If both of the bagels are affordable, you will get a prize. Both of the bagels are affordable. Do you get a prize? Yes.
If Sophie has some of the bagels, Sophie will get a prize. Sophie had all of the bagels. Does Sophie get a prize?", No.,0,-0.80769664,-0.66979164,,0.13790499999999994
1,all-all,"If both of the bagels are affordable, you will get a prize. Both of the bagels are affordable. Do you get a prize? Yes.
If the actress eats all of the peanuts, the actress will get a prize. The actress ate all of the peanuts. Does the actress get a prize?", Yes.,1,-0.4776161,-1.0774239,,-0.5998078000000001
1,some-some,"If both of the bagels are affordable, you will get a prize. Both of the bagels are affordable. Do you get a prize? Yes.
If some of the candles are impressive, you will get a prize. Some of the candles are impressive. Do you get a prize?", Yes.,1,-0.58861303,-0.9131216,-4.538636,-0.32450857
1,some-all,"If the man buys more than two of the cars, the man will get a prize. The man bought three of the cars. Does the man get a prize? Yes.
If the actress orders all of the rings, the actress will get a prize. The actress ordered some of the rings. Does the actress get a prize?", No.,1,-1.0707698,-0.5155711,-3.7263024,-0.5551987000000002
1,all-some,"If the man buys more than two of the cars, the man will get a prize. The man bought three of the cars. Does the man get a prize? Yes.
If Sam has some of the hats, Sam will get a prize. Sam had all of the hats. Does Sam get a prize?", No.,0,-0.73618066,-0.6991133,-6.6099443,0.037067359999999994
1,all-all,"If the man buys more than two of the cars, the man will get a prize. The man bought three of the cars. Does the man get a prize? Yes.
If Michael has all of the candles, Michael will get a prize. Michael had all of the candles. Does Michael get a prize?", Yes.,1,-0.47969288,-1.033831,-6.3677382,-0.55413812
1,some-some,"If the man buys more than two of the cars, the man will get a prize. The man bought three of the cars. Does the man get a prize? Yes.
If some of the strawberries are cold, you will get a prize. Some of the strawberries are cold. Do you get a prize?", Yes.,1,-0.6340809,-0.82169914,-5.9540267,-0.18761824000000005
1,some-all,"If Bill wants two of the oranges, Bill will get a prize. Bill wanted some of the oranges. Does Bill get a prize? Yes.
If Lucy owns all of the keyrings, Lucy will get a prize. Lucy owned some of the keyrings. Does Lucy get a prize?", No.,1,-0.8769125,-0.60810596,-5.1392756,-0.26880654000000004
1,all-some,"If Bill wants two of the oranges, Bill will get a prize. Bill wanted some of the oranges. Does Bill get a prize? Yes.
If Adam owns some of the bagels, Adam will get a prize. Adam owned all of the bagels. Does Adam get a prize?", No.,0,-0.8157763,-0.6477998,,0.16797649999999997
1,all-all,"If Bill wants two of the oranges, Bill will get a prize. Bill wanted some of the oranges. Does Bill get a prize? Yes.
If Sophie buys all of the sweaters, Sophie will get a prize. Sophie bought all of the sweaters. Does Sophie get a prize?", Yes.,1,-0.415069,-1.1708598,-6.1486616,-0.7557907999999999
1,some-some,"If Bill wants two of the oranges, Bill will get a prize. Bill wanted some of the oranges. Does Bill get a prize? Yes.
If Michael gets some of the cakes, Michael will get a prize. Michael got some of the cakes. Does Michael get a prize?", Yes.,1,-0.5616195,-0.9272163,-5.9485784,-0.36559679999999994
1,some-all,"If Lucy sees more than one of the cats, Lucy will get a prize. Lucy saw two of the cats. Does Lucy get a prize? Yes.
If the actor spots all of the churros, the actor will get a prize. The actor spotted some of the churros. Does the actor get a prize?", No.,1,-1.0124159,-0.5662794,-3.9634314,-0.44613649999999994
1,all-some,"If Lucy sees more than one of the cats, Lucy will get a prize. Lucy saw two of the cats. Does Lucy get a prize? Yes.
If some of the keyrings are sold out, you will get a prize. All of the keyrings are sold out. Do you get a prize?", No.,0,-1.0882041,-0.4813695,,0.6068346
1,all-all,"If Lucy sees more than one of the cats, Lucy will get a prize. Lucy saw two of the cats. Does Lucy get a prize? Yes.
If Ann likes all of the cars, Ann will get a prize. Ann liked all of the cars. Does Ann get a prize?", Yes.,1,-0.42775494,-1.131883,-6.148851,-0.70412806
1,some-some,"If Lucy sees more than one of the cats, Lucy will get a prize. Lucy saw two of the cats. Does Lucy get a prize? Yes.
If the actress owns some of the sandwiches, the actress will get a prize. The actress owned some of the sandwiches. Does the actress get a prize?", Yes.,1,-0.54505354,-0.93989366,-5.6165595,-0.39484012
1,some-all,"If three of the bagels are cheap, you will get a prize. Three of the bagels are cheap. Do you get a prize? Yes.
If the actor purchases all of the sweaters, the actor will get a prize. The actor purchased some of the sweaters. Does the actor get a prize?", No.,1,-1.0545787,-0.57907265,-4.764074,-0.47550605
1,all-some,"If three of the bagels are cheap, you will get a prize. Three of the bagels are cheap. Do you get a prize? Yes.
If Sally has some of the rings, Sally will get a prize. Sally had all of the rings. Does Sally get a prize?", Yes.,1,-0.6914024,-0.8091887,,-0.11778630000000001
1,all-all,"If three of the bagels are cheap, you will get a prize. Three of the bagels are cheap. Do you get a prize? Yes.
If Robin likes all of the churros, Robin will get a prize. Robin liked all of the churros. Does Robin get a prize?", Yes.,1,-0.40640453,-1.2584133,,-0.85200877
1,some-some,"If three of the bagels are cheap, you will get a prize. Three of the bagels are cheap. Do you get a prize? Yes.
If the singer orders some of the tickets, the singer will get a prize. The singer ordered some of the tickets. Does the singer get a prize?", Yes.,1,-0.39163348,-1.2377868,,-0.8461533200000001
1,some-all,"If Michael sells more than two of the churros, Michael will get a prize. Michael sold three of the churros. Does Michael get a prize? Yes.
If Robin gets all of the churros, Robin will get a prize. Robin got some of the churros. Does Robin get a prize?", No.,1,-1.5092821,-0.33629328,-4.117234,-1.17298882
1,all-some,"If Michael sells more than two of the churros, Michael will get a prize. Michael sold three of the churros. Does Michael get a prize? Yes.
If some of the oranges are delicious, you will get a prize. All of the oranges are delicious. Do you get a prize?", Yes.,1,-0.35295123,-1.331425,,-0.9784737700000001
1,all-all,"If Michael sells more than two of the churros, Michael will get a prize. Michael sold three of the churros. Does Michael get a prize? Yes.
If Sam sees all of the performers, Sam will get a prize. Sam saw all of the performers. Does Sam get a prize?", Yes.,1,-0.61082846,-0.8484918,-6.280323,-0.23766334
1,some-some,"If Michael sells more than two of the churros, Michael will get a prize. Michael sold three of the churros. Does Michael get a prize? Yes.
If Ann owns some of the bottles, Ann will get a prize. Ann owned some of the bottles. Does Ann get a prize?", No.,0,-1.0302593,-0.5353022,-4.541909,0.49495710000000004
1,some-all,"If the teacher sees two of the umbrellas, the teacher will get a prize. The teacher saw both of the umbrellas. Does the teacher get a prize? Yes.
If Ann sells all of the rings, Ann will get a prize. Ann sold some of the rings. Does Ann get a prize?", No.,1,-1.4125823,-0.47755805,-2.9652174,-0.9350242499999999
1,all-some,"If the teacher sees two of the umbrellas, the teacher will get a prize. The teacher saw both of the umbrellas. Does the teacher get a prize? Yes.
If Sidney sells some of the pretzels, Sidney will get a prize. Sidney sold all of the pretzels. Does Sidney get a prize?", No.,0,-0.95265746,-0.53933495,,0.41332251
1,all-all,"If the teacher sees two of the umbrellas, the teacher will get a prize. The teacher saw both of the umbrellas. Does the teacher get a prize? Yes.
If Lucy purchases all of the toys, Lucy will get a prize. Lucy purchased all of the toys. Does Lucy get a prize?", Yes.,1,-0.32526046,-1.3853916,-6.3770223,-1.06013114
1,some-some,"If the teacher sees two of the umbrellas, the teacher will get a prize. The teacher saw both of the umbrellas. Does the teacher get a prize? Yes.
If Sidney has some of the apples, Sidney will get a prize. Sidney had some of the apples. Does Sidney get a prize?", Yes.,1,-0.582139,-0.9433831,-4.492593,-0.36124410000000007
1,some-all,"If three of the peanuts are cheap, you will get a prize. Three of the peanuts are cheap. Do you get a prize? Yes.
If all of the rings are affordable, you will get a prize. Some of the rings are affordable. Do you get a prize?", No.,1,-1.4397423,-0.42433476,-3.26456,-1.01540754
